random_seed,carbon_price,carbon_cap,delta,investment_exponent,outer_method,outer_solution_status,final_inner_bp_status,final_inner_bp_certified,integer_solution,termination_reason,total_profit,carbon_emission,total_investment_cost,net_carbon_trading_cost,e_plus,e_minus,num_dc_open,open_dc_set,num_retailers_served,retailer_service_set,w_vector_candidate_dc,w_vector_length,positive_w_count,mean_positive_w,mean_all_candidate_w,mean_open_dc_w,max_w,min_positive_w,ga_generations,fitness_requests,fitness_bp_solves,actual_fitness_cache_hits,cache_hit_rate,cg_iterations,branch_nodes,wall_time_sec,algorithm_commit,formal_tag,base_instance_fingerprint,run_config_fingerprint
303,20,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,3642314.82666656,105.151706898585,826814.275517529,-1997896.96586203,0,99894.8482931014,4,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0.752688172043011;0.868035190615836;0.0772238514173998;0.0557184750733138;1;1;1;0.645161290322581;0.043010752688172;0.999022482893451,10,10,0.6440860215053764,0.6440860215053764,NA_NOT_AVAILABLE,1.0,0.043010752688172,45,1350,1096,254,0.18814814814814815,62526,55,175.024122213,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,82a66edde24d097a9076a0cca1c80f13af3c68cc8cd3d3c473d8e12b9e153941,4467fb661f37f3e8cc789e874d5b816f023dd143cbe183d0409b707bd94abe8b
404,0,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2448905.33943923,605936.502985166,0,0,505936.502985166,0,9,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0;0;0;0;0;0;0;0;0;0,10,0,0,0.0,NA_NOT_AVAILABLE,0.0,0,11,330,269,61,0.18484848484848485,5599,70,10.859855542,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,beb9b8eec8cdd7a98c7ed5f11ae64d91188bcddbd7554d69118479be2592eeb0,5448e0aafea0bfe9f08efa19695cec23690df8da844625faf47b9d99bde69635
404,1,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2024396.78861369,433586.409917327,75610.4371778154,333586.409917327,333586.409917327,0,9,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0.303030303030303;0.125122189638319;0.202346041055718;0.125122189638319;0.178885630498534;0.0782013685239492;0.287390029325513;0.312805474095797;0.160312805474096;0.275659824046921,10,10,0.2048875855327469,0.2048875855327469,NA_NOT_AVAILABLE,0.312805474095797,0.0782013685239492,39,1170,964,206,0.17606837606837608,17867,172,28.16662694,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,beb9b8eec8cdd7a98c7ed5f11ae64d91188bcddbd7554d69118479be2592eeb0,88108d9a61b44e3e5e9f2cabd450e1466ef00950f73ef67ccbd3d10505ec968a
404,2,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,1775776.82330118,239106.32016107,302681.758766957,278212.64032214,139106.32016107,0,6,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0.499511241446725;0.411534701857283;0.467253176930596;0.67644183773216;0.256109481915934;0.345063538611926;0.916911045943304;0.76930596285435;0.178885630498534;0.565004887585533,10,10,0.5086021505376345,0.5086021505376345,NA_NOT_AVAILABLE,0.916911045943304,0.178885630498534,16,480,387,93,0.19375,8109,112,14.259059396,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,beb9b8eec8cdd7a98c7ed5f11ae64d91188bcddbd7554d69118479be2592eeb0,22aa5dd0b9a4345fc26b3f50f1563bf5dd5fbc19bead688df75967705e358923
404,4,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,1789349.71042455,34620.8795310638,828929.568457941,-261516.481875745,0,65379.1204689362,6,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,1;0.110459433040078;0.828934506353861;0.0293255131964809;0.523949169110459;0.0459433040078201;0.0293255131964809;0.994134897360704;0.671554252199413;0.996089931573803,10,10,0.5229716520039099,0.5229716520039099,NA_NOT_AVAILABLE,1.0,0.0293255131964809,32,960,776,184,0.19166666666666668,22023,53,52.436076177,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,beb9b8eec8cdd7a98c7ed5f11ae64d91188bcddbd7554d69118479be2592eeb0,8c8006483baaecc8b7694aced3949b436b3e8a758610b7c4abed88d1656b9361
404,6,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,1961046.77257521,4310.82008760064,844166.29144128,-574135.079474396,0,95689.1799123994,4,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0.990224828934506;0.297165200391007;0.96871945259042;0.50830889540567;0.931573802541544;0.394916911045943;0.250244379276637;0.998044965786901;0.844574780058651;1,10,10,0.718377321603128,0.718377321603128,NA_NOT_AVAILABLE,1.0,0.250244379276637,50,1500,1219,281,0.18733333333333332,44971,247,117.293845146,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,beb9b8eec8cdd7a98c7ed5f11ae64d91188bcddbd7554d69118479be2592eeb0,bdcd2a4fe6393c36b438a5227a69ddb2998b3332e9ce49b172eff63d86359a0d
404,10,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2361004.28171532,1493.36948490266,855105.481113102,-985066.305150973,0,98506.6305150973,4,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0.998044965786901;0.734115347018573;0.997067448680352;0.355816226783969;0.76930596285435;0.132942326490714;0.478983382209189;0.995112414467253;0.356793743890518;1,10,10,0.6818181818181819,0.6818181818181819,NA_NOT_AVAILABLE,1.0,0.132942326490714,40,1200,950,250,0.20833333333333334,43077,33,110.928727634,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,beb9b8eec8cdd7a98c7ed5f11ae64d91188bcddbd7554d69118479be2592eeb0,a4665937341de4424a8d2153611c3dea6402b090e4f1cdfc0bfbe1072d49ba41
404,20,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,3275806.69951057,204.396390904874,748903.331842026,-1995912.0721819,0,99795.6036090951,3,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,1;0.837732160312806;1;0.364613880742913;0.75366568914956;0.495601173020528;0.240469208211144;0.999022482893451;0.586510263929619;0.316715542521994,10,10,0.6594330400782015,0.6594330400782015,NA_NOT_AVAILABLE,1.0,0.240469208211144,50,1500,1190,310,0.20666666666666667,61358,135,171.229801037,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,beb9b8eec8cdd7a98c7ed5f11ae64d91188bcddbd7554d69118479be2592eeb0,fcbac125acf4bc8baa58c4a95713d2066e28838a884d55273c668b226f03699e
505,0,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2445632.50639097,470755.901664933,0,0,370755.901664933,0,9,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0;0;0;0;0;0;0;0;0;0,10,0,0,0.0,NA_NOT_AVAILABLE,0.0,0,11,330,274,56,0.1696969696969697,7046,102,11.897620438,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,96b575f77e2a905127d968e2c5d7a885faa40c4c984f66d9d1df2b50b92be62a,9cf2cc6312f813427c6d0ae18933f515ab7e36c7cd9eaf5ca81a1b238aeeb8a0
505,1,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2134716.6686009,329007.462687237,69838.2604131668,229007.462687237,229007.462687237,0,9,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0.050830889540567;0.251221896383187;0.217986314760508;0.965786901270772;0.12316715542522;0.282502443792766;0.318670576735093;0.252199413489736;0.18475073313783;0.258064516129032,10,10,0.2905180840664711,0.2905180840664711,NA_NOT_AVAILABLE,0.965786901270772,0.050830889540567,24,720,596,124,0.17222222222222222,14198,235,20.624727198,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,96b575f77e2a905127d968e2c5d7a885faa40c4c984f66d9d1df2b50b92be62a,c58dec849928651805b2c49dc8036286df63ebfd3335a89c98fc103185605eaa
