random_seed,carbon_price,baseline_price,profit_difference,emission_difference,investment_difference,net_carbon_cost_difference,num_dc_open_difference,retailer_service_set_difference
606,6,2,211635.17519230023,-212028.83553555392,350936.282227097,-822502.2508317691,-5,NA_NOT_AVAILABLE
606,10,2,553620.48807343,-203724.86028807922,313528.076067446,-1137907.078117681,-5,NA_NOT_AVAILABLE
606,20,2,1606191.3216196303,-212028.85224243221,350936.282227097,-2217058.6141316392,-5,NA_NOT_AVAILABLE
707,0,2,515770.0202509002,190213.332396483,-215004.77255149,-270228.820076251,2,NA_NOT_AVAILABLE
707,1,2,224221.61377543025,120315.878192059,-179055.6725129292,-14798.531846066006,2,NA_NOT_AVAILABLE
707,2,2,0.0,0.0,0.0,0.0,0,NA_NOT_AVAILABLE
707,4,2,-92309.55263890978,-185662.664445142,398262.66774069704,-472421.83770431497,-3,NA_NOT_AVAILABLE
707,6,2,60783.235675930046,-226006.22343310167,569346.032576872,-815579.7004461051,-4,NA_NOT_AVAILABLE
707,10,2,436366.47020628024,-229618.6553567874,593464.495767216,-1215271.273262865,-4,NA_NOT_AVAILABLE
707,20,2,1448336.93925178,-233924.02354543784,612649.427007849,-2246421.090222491,-4,NA_NOT_AVAILABLE
808,0,2,335956.8553897799,171418.23469489996,-172247.597102776,-151521.09425159,1,NA_NOT_AVAILABLE
808,1,2,124250.39422565,102982.57216585198,-142135.2819255855,27222.025040056993,1,NA_NOT_AVAILABLE
808,2,2,0.0,0.0,0.0,0.0,0,NA_NOT_AVAILABLE
808,4,2,11078.649507340044,-147947.18476890682,352684.61036458303,-440267.644824037,-1,NA_NOT_AVAILABLE
808,6,2,192255.85743889026,-170035.36923723173,416317.335207532,-717170.02692021,-2,NA_NOT_AVAILABLE
808,10,2,564597.5397022199,-171335.2140183615,410251.094929396,-1107267.763177255,-3,NA_NOT_AVAILABLE
808,20,2,1591305.1416649,-175420.4150556606,425987.185053145,-2144718.4528489,-3,NA_NOT_AVAILABLE
909,0,2,606094.1706458898,249404.98759009503,-239507.554572176,-360020.933315533,0,NA_NOT_AVAILABLE
909,1,2,240959.26135185966,126549.93374599895,-187332.7247511177,-53460.53291176801,0,NA_NOT_AVAILABLE
909,2,2,0.0,0.0,0.0,0.0,0,NA_NOT_AVAILABLE
909,4,2,-108680.29642927041,-216818.73069265904,518300.69028813596,-507253.989455105,-1,NA_NOT_AVAILABLE
909,6,2,61621.236666469835,-276005.68904905627,604270.015652895,-935992.267663275,-5,NA_NOT_AVAILABLE
909,10,2,434305.6290398496,-278036.2816501312,611013.45601232,-1340279.083239185,-5,NA_NOT_AVAILABLE
909,20,2,1412814.67541068,-279714.2589232412,609437.719501334,-2354096.778625033,-5,NA_NOT_AVAILABLE
1010,0,2,480456.13553383993,135915.54917506,-111667.9176653,-360954.760188615,2,NA_NOT_AVAILABLE
1010,1,2,201055.06848802976,58864.309558143024,-79207.9549496453,-121613.07053616401,0,NA_NOT_AVAILABLE
1010,2,2,0.0,0.0,0.0,0.0,0,NA_NOT_AVAILABLE
1010,4,2,-125724.76626696996,-184566.0404683252,446523.42729284294,-377309.4016846838,-2,NA_NOT_AVAILABLE
1010,6,2,41630.62252188008,-268839.2242658939,698894.8450928561,-891125.8252181299,-4,NA_NOT_AVAILABLE
1010,10,2,473408.05853868974,-280364.67927920225,624731.7202733511,-1359827.752037557,-5,NA_NOT_AVAILABLE
1010,20,2,1293820.7400637297,-275425.9241091897,610504.703873055,-2259925.640486245,-5,NA_NOT_AVAILABLE
