random_seed,carbon_price,carbon_cap,source_formal_task_id,result_origin,solver_run_performed,source_carbon_price,source_carbon_cap,source_total_profit,total_profit,carbon_emission,total_investment_cost,e_plus,e_minus,net_carbon_trading_cost,w_vector_candidate_dc,num_dc_open,notes
505,2,100000,seed_505_PRICE_02_CAP_100000,ANALYTICALLY_DERIVED,false,2,100000,1943512.15225311,1943512.15225311,246715.987314229,191098.538818986,146715.987314229,0,293431.974628458,0.170087976539589;0.411534701857283;0.350928641251222;0.841642228739003;0.186705767350929;0.428152492668622;0.61485826001955;0.241446725317693;0.072336265884653;0.429130009775171,9,Derived from formal carbon-price=2 solver result; not an independent GA-BP run.
505,2,200000,seed_505_PRICE_02_CAP_100000,ANALYTICALLY_DERIVED,false,2,100000,1943512.15225311,2143512.15225311,246715.987314229,191098.538818986,46715.98731422899,0,93431.97462845797,0.170087976539589;0.411534701857283;0.350928641251222;0.841642228739003;0.186705767350929;0.428152492668622;0.61485826001955;0.241446725317693;0.072336265884653;0.429130009775171,9,Derived from formal carbon-price=2 solver result; not an independent GA-BP run.
505,2,350000,seed_505_PRICE_02_CAP_100000,ANALYTICALLY_DERIVED,false,2,100000,1943512.15225311,2443512.15225311,246715.987314229,191098.538818986,0,103284.01268577101,-206568.02537154203,0.170087976539589;0.411534701857283;0.350928641251222;0.841642228739003;0.186705767350929;0.428152492668622;0.61485826001955;0.241446725317693;0.072336265884653;0.429130009775171,9,Derived from formal carbon-price=2 solver result; not an independent GA-BP run.
606,2,0,seed_606_PRICE_02_CAP_100000,ANALYTICALLY_DERIVED,false,2,100000,2276604.85944484,2076604.8594448399,212417.690595389,217607.775418985,212417.690595389,0,424835.381190778,0.669599217986315;0.30791788856305;0.163245356793744;0.433040078201369;0.124144672531769;0.449657869012708;0.316715542521994;0.205278592375367;0.974584555229717;0.410557184750733,7,Derived from formal carbon-price=2 solver result; not an independent GA-BP run.
606,2,40000,seed_606_PRICE_02_CAP_100000,ANALYTICALLY_DERIVED,false,2,100000,2276604.85944484,2156604.85944484,212417.690595389,217607.775418985,172417.690595389,0,344835.381190778,0.669599217986315;0.30791788856305;0.163245356793744;0.433040078201369;0.124144672531769;0.449657869012708;0.316715542521994;0.205278592375367;0.974584555229717;0.410557184750733,7,Derived from formal carbon-price=2 solver result; not an independent GA-BP run.
606,2,100000,seed_606_PRICE_02_CAP_100000,ANALYTICALLY_DERIVED,false,2,100000,2276604.85944484,2276604.85944484,212417.690595389,217607.775418985,112417.690595389,0,224835.381190778,0.669599217986315;0.30791788856305;0.163245356793744;0.433040078201369;0.124144672531769;0.449657869012708;0.316715542521994;0.205278592375367;0.974584555229717;0.410557184750733,7,Derived from formal carbon-price=2 solver result; not an independent GA-BP run.
606,2,200000,seed_606_PRICE_02_CAP_100000,ANALYTICALLY_DERIVED,false,2,100000,2276604.85944484,2476604.85944484,212417.690595389,217607.775418985,12417.690595388995,0,24835.38119077799,0.669599217986315;0.30791788856305;0.163245356793744;0.433040078201369;0.124144672531769;0.449657869012708;0.316715542521994;0.205278592375367;0.974584555229717;0.410557184750733,7,Derived from formal carbon-price=2 solver result; not an independent GA-BP run.
606,2,350000,seed_606_PRICE_02_CAP_100000,ANALYTICALLY_DERIVED,false,2,100000,2276604.85944484,2776604.85944484,212417.690595389,217607.775418985,0,137582.309404611,-275164.618809222,0.669599217986315;0.30791788856305;0.163245356793744;0.433040078201369;0.124144672531769;0.449657869012708;0.316715542521994;0.205278592375367;0.974584555229717;0.410557184750733,7,Derived from formal carbon-price=2 solver result; not an independent GA-BP run.
707,2,0,seed_707_PRICE_02_CAP_100000,ANALYTICALLY_DERIVED,false,2,100000,2562933.77111338,2362933.77111338,235114.410038126,215004.77255149,235114.410038126,0,470228.820076252,0.500488758553275;0.183773216031281;0.497556207233627;0.312805474095797;0.567937438905181;0.221896383186706;0.300097751710655;0.813294232649071;0.447702834799609;0.441837732160313,8,Derived from formal carbon-price=2 solver result; not an independent GA-BP run.
707,2,40000,seed_707_PRICE_02_CAP_100000,ANALYTICALLY_DERIVED,false,2,100000,2562933.77111338,2442933.77111338,235114.410038126,215004.77255149,195114.410038126,0,390228.820076252,0.500488758553275;0.183773216031281;0.497556207233627;0.312805474095797;0.567937438905181;0.221896383186706;0.300097751710655;0.813294232649071;0.447702834799609;0.441837732160313,8,Derived from formal carbon-price=2 solver result; not an independent GA-BP run.
707,2,100000,seed_707_PRICE_02_CAP_100000,ANALYTICALLY_DERIVED,false,2,100000,2562933.77111338,2562933.77111338,235114.410038126,215004.77255149,135114.410038126,0,270228.820076252,0.500488758553275;0.183773216031281;0.497556207233627;0.312805474095797;0.567937438905181;0.221896383186706;0.300097751710655;0.813294232649071;0.447702834799609;0.441837732160313,8,Derived from formal carbon-price=2 solver result; not an independent GA-BP run.
707,2,200000,seed_707_PRICE_02_CAP_100000,ANALYTICALLY_DERIVED,false,2,100000,2562933.77111338,2762933.77111338,235114.410038126,215004.77255149,35114.41003812599,0,70228.82007625198,0.500488758553275;0.183773216031281;0.497556207233627;0.312805474095797;0.567937438905181;0.221896383186706;0.300097751710655;0.813294232649071;0.447702834799609;0.441837732160313,8,Derived from formal carbon-price=2 solver result; not an independent GA-BP run.
707,2,350000,seed_707_PRICE_02_CAP_100000,ANALYTICALLY_DERIVED,false,2,100000,2562933.77111338,3062933.77111338,235114.410038126,215004.77255149,0,114885.58996187401,-229771.17992374802,0.500488758553275;0.183773216031281;0.497556207233627;0.312805474095797;0.567937438905181;0.221896383186706;0.300097751710655;0.813294232649071;0.447702834799609;0.441837732160313,8,Derived from formal carbon-price=2 solver result; not an independent GA-BP run.
808,2,0,seed_808_PRICE_02_CAP_100000,ANALYTICALLY_DERIVED,false,2,100000,2732061.90909456,2532061.90909456,175760.547125795,172247.597102776,175760.547125795,0,351521.09425159,0.43108504398827;0.231671554252199;0.151515151515152;0.144672531769306;0.540566959921799;0.545454545454545;0.801564027370479;0.951124144672532;0.287390029325513;0.193548387096774,5,Derived from formal carbon-price=2 solver result; not an independent GA-BP run.
