num_dc,num_retailers,random_seed,fixed_w,complete_column_count,cplex_status,cplex_objective,cplex_gap,cplex_wall_time_sec,bp_status,bp_objective,bp_gap,bp_wall_time_sec,absolute_objective_difference,relative_objective_difference,reference_solution_feasible,bp_solution_feasible,bp_cg_iterations,bp_branch_nodes,bp_processed_nodes,bp_pruned_nodes,bp_remaining_active_nodes,pair_valid,size_id
3,5,303,0.4,171,OPTIMAL,100238.019315233,0,0.0067786440000000003,OPTIMAL_CERTIFIED,100238.019315233,0,0.0019695870000000001,0,0,true,true,4,0,1,0,0,true,3x5
3,5,404,0.4,171,OPTIMAL,227194.55501514772,0,0.0066704379999999999,OPTIMAL_CERTIFIED,227194.55501514772,0,0.0017262600000000001,0,0,true,true,3,0,1,0,0,true,3x5
3,5,505,0.4,171,OPTIMAL,39294.306345919562,0,0.0063401300000000002,OPTIMAL_CERTIFIED,39294.306345919562,0,0.0016888199999999999,0,0,true,true,2,0,1,0,0,true,3x5
3,5,606,0.4,171,OPTIMAL,253091.71363996452,0,0.0088457599999999994,OPTIMAL_CERTIFIED,253091.71363996452,0,0.0028190770000000001,0,0,true,true,4,0,1,0,0,true,3x5
3,5,707,0.4,171,OPTIMAL,298939.56077459879,0,0.0062560350000000001,OPTIMAL_CERTIFIED,298939.56077459879,0,0.0023290339999999998,0,0,true,true,5,0,1,0,0,true,3x5
3,5,808,0.4,171,OPTIMAL,276062.47164837003,0,0.0080631450000000007,OPTIMAL_CERTIFIED,276062.47164837003,0,0.0029814049999999999,0,0,true,true,5,0,1,0,0,true,3x5
3,5,909,0.4,171,OPTIMAL,147717.11313055945,0,0.0069850399999999997,OPTIMAL_CERTIFIED,147717.11313055945,0,0.001289103,0,0,true,true,2,0,1,0,0,true,3x5
3,5,1010,0.4,171,OPTIMAL,154763.00839850394,0,0.0070075750000000003,OPTIMAL_CERTIFIED,154763.00839850394,0,0.0023530589999999998,0,0,true,true,4,0,1,0,0,true,3x5
3,5,101,0.8,171,OPTIMAL,222705.85630668883,0,0.026214620000000001,OPTIMAL_CERTIFIED,222705.85630668883,0,0.002270864,0,0,true,true,3,0,1,0,0,true,3x5
3,5,202,0.8,171,OPTIMAL,224252.32886326444,0,0.0058957840000000003,OPTIMAL_CERTIFIED,224252.32886326444,0,0.00195112,0,0,true,true,4,0,1,0,0,true,3x5
3,5,303,0.8,171,OPTIMAL,70328.743043943876,0,0.0048273680000000003,OPTIMAL_CERTIFIED,70328.743043943876,0,0.0013857609999999999,0,0,true,true,3,0,1,0,0,true,3x5
3,5,404,0.8,171,OPTIMAL,195272.32451266955,0,0.0041819220000000002,OPTIMAL_CERTIFIED,195272.32451266955,0,0.001690418,0,0,true,true,3,0,1,0,0,true,3x5
3,5,505,0.8,171,OPTIMAL,30207.452694522348,0,0.0030246880000000002,OPTIMAL_CERTIFIED,30207.452694522348,0,0.002172813,0,0,true,true,3,0,1,0,0,true,3x5
3,5,606,0.8,171,OPTIMAL,219319.77020266198,0,0.0066780709999999998,OPTIMAL_CERTIFIED,219319.77020266198,0,0.001757411,0,0,true,true,5,0,1,0,0,true,3x5
3,5,707,0.8,171,OPTIMAL,253730.45657244037,0,0.0035272799999999998,OPTIMAL_CERTIFIED,253730.45657244037,0,0.0011864550000000001,0,0,true,true,3,0,1,0,0,true,3x5
3,5,808,0.8,171,OPTIMAL,235065.40131666639,0,0.027978207000000001,OPTIMAL_CERTIFIED,235065.40131666639,0,0.0031208759999999999,0,0,true,true,5,0,1,0,0,true,3x5
3,5,909,0.8,171,OPTIMAL,88773.452089609404,0,0.0064506420000000004,OPTIMAL_CERTIFIED,88773.452089609404,0,0.0017518989999999999,0,0,true,true,2,0,1,0,0,true,3x5
3,5,1010,0.8,171,OPTIMAL,112733.39279149912,0,0.0036598759999999998,OPTIMAL_CERTIFIED,112733.39279149912,0,0.0019610360000000002,0,0,true,true,5,0,1,0,0,true,3x5
5,10,101,0.0,10180,OPTIMAL,505776.35827637999,0,0.051692400999999999,OPTIMAL_CERTIFIED,505776.35827637993,0,0.002524798,5.8207660913467407e-11,1.1508576856346458e-16,true,true,6,0,1,0,0,true,5x10
5,10,202,0.0,10180,OPTIMAL,534421.34437029378,0,0.050284786999999997,OPTIMAL_CERTIFIED,534421.34437029378,0,0.0024922199999999999,0,0,true,true,5,0,1,0,0,true,5x10
5,10,303,0.0,10180,OPTIMAL,597865.0519616087,0,0.059837857000000001,OPTIMAL_CERTIFIED,597865.05196160881,0,0.0032966050000000002,1.1641532182693481e-10,1.9471839246159902e-16,true,true,8,0,1,0,0,true,5x10
5,10,404,0.0,10180,OPTIMAL,424640.16047616187,0,0.044147409999999998,OPTIMAL_CERTIFIED,424640.16047616175,0,0.0012928130000000001,1.1641532182693481e-10,2.741505224008836e-16,true,true,4,0,1,0,0,true,5x10
5,10,505,0.0,10180,OPTIMAL,403886.70141346997,0,0.028331313,OPTIMAL_CERTIFIED,403886.70141346997,0,0.001243149,0,0,true,true,4,0,1,0,0,true,5x10
5,10,606,0.0,10180,OPTIMAL,778892.61151911214,0,0.102799822,OPTIMAL_CERTIFIED,778892.61151911202,0,0.0037575360000000001,1.1641532182693481e-10,1.494626089723516e-16,true,true,9,0,1,0,0,true,5x10
5,10,707,0.0,10180,OPTIMAL,612420.59470525605,0,0.075862781000000004,OPTIMAL_CERTIFIED,612420.59470525605,0,0.0048089910000000003,0,0,true,true,10,0,1,0,0,true,5x10
5,10,808,0.0,10180,OPTIMAL,704309.16702811641,0,0.083731293999999998,OPTIMAL_CERTIFIED,704309.1670281163,0,0.003762297,1.1641532182693481e-10,1.6529008463450462e-16,true,true,9,0,1,0,0,true,5x10
