distance_km,random_seed,output_dir,validation_status,outer_status,final_inner_bp_status,integer_solution,relative_gap,wall_time_sec,ga_generations,actual_bp_calls,fitness_cache_hits,cg_iterations,branch_nodes,num_open_dcs,mean_w_open_dcs,demand_weighted_mean_w,max_w,revenue,facility_fixed_cost,inventory_cost,supplier_dc_transport_cost,dc_market_transport_cost,total_transport_cost,investment_cost,carbon_trading_cost,reported_total_profit,recomputed_total_profit,objective_decomposition_error,facility_emission,inventory_emission,supplier_dc_transport_emission,dc_market_transport_emission,total_emission,emission_decomposition_error,carbon_quota,allowance_shortage,allowance_surplus,net_carbon_trading_cost,best_w
15,909,D15/seed_909,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.645506,11,283,47,1467,0,6,0.00016292,6.17288e-05,0.144673,2.72126e+08,1.67485e+07,3.9791e+06,4.73994e+07,3.00616e+07,7.74611e+07,0.310569,220.181,1.73967e+08,1.73967e+08,2.98023e-08,659.892,3.80361,8498.76,5390.48,14552.9,0,14442.8,110.09,0,220.181,0;0;0;0;0.000977517;0.144673;0;0
15,1010,D15/seed_1010,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.650764,11,276,54,1424,0,6,0.000651678,0.000319441,0.00195503,2.72126e+08,1.67485e+07,3.9791e+06,4.73994e+07,3.00616e+07,7.7461e+07,2.80747,209.244,1.73967e+08,1.73967e+08,0,659.57,3.80222,8494.88,5389.21,14547.5,0,14442.8,104.622,0,209.244,0;0;0;0;0.00195503;0;0;0.00195503
20,101,D20/seed_101,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.612215,11,258,72,1349,0,6,0.00146628,0.00328324,0.0625611,2.72126e+08,1.67485e+07,3.9791e+06,4.73994e+07,3.06823e+07,7.80817e+07,50.2674,361.939,1.73346e+08,1.73346e+08,2.98023e-08,659.032,3.79521,8487.84,5473.14,14623.8,-1.81899e-12,14442.8,180.97,0,361.939,0.00782014;0.00782014;0.000977517;0;0;0.0625611;0;0
20,202,D20/seed_202,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.633577,11,268,62,1390,0,6,0.00179211,0.00175476,0.0527859,2.72126e+08,1.67485e+07,3.9791e+06,4.73994e+07,3.06823e+07,7.80817e+07,34.684,390.79,1.73346e+08,1.73346e+08,0,658.817,3.79697,8480.38,5495.24,14638.2,-1.81899e-12,14442.8,195.395,0,390.79,0;0;0.00195503;0.00782014;0;0.0527859;0.000977517;0
20,303,D20/seed_303,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.661888,11,273,57,1434,0,6,0.00244379,0.00203233,0.187683,2.72126e+08,1.67485e+07,3.9791e+06,4.73994e+07,3.06823e+07,7.80817e+07,33.1665,390.912,1.73346e+08,1.73346e+08,0,658.387,3.79541,8481.89,5494.23,14638.3,1.81899e-12,14442.8,195.456,0,390.912,0.0625611;0.000977517;0.00195503;0.00391007;0;0.187683;0.00782014;0
20,404,D20/seed_404,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.619373,11,275,55,1495,0,6,0.00016292,0.000386217,0.250244,2.72126e+08,1.67485e+07,3.9791e+06,4.73994e+07,3.06823e+07,7.80817e+07,0.776837,435.465,1.73346e+08,1.73346e+08,0,659.892,3.803,8498.5,5498.38,14660.6,0,14442.8,217.733,0,435.465,0.250244;0.000977517;0;0;0;0;0;0
20,505,D20/seed_505,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.678403,11,276,54,1442,0,6,0.00130336,0.00102091,0.00391007,2.72126e+08,1.67485e+07,3.9791e+06,4.73994e+07,3.06823e+07,7.80817e+07,13.7669,414.042,1.73346e+08,1.73346e+08,5.96046e-08,659.14,3.79947,8486.51,5500.42,14649.9,-3.63798e-12,14442.8,207.021,0,414.042,0;0;0.00391007;0;0.00391007;0;0;0
20,606,D20/seed_606,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.631122,11,272,58,1491,0,6,0.000651678,0.000446225,0.00195503,2.72126e+08,1.67485e+07,3.9791e+06,4.73994e+07,3.06823e+07,7.80817e+07,3.25092,429.843,1.73346e+08,1.73346e+08,0,659.57,3.80193,8494.36,5500.03,14657.8,-1.81899e-12,14442.8,214.922,0,429.843,0;0;0;0.00195503;0.00195503;0;0;0
20,707,D20/seed_707,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.651535,11,272,58,1539,0,6,0.00391007,0.00359663,0.852395,2.72126e+08,1.67485e+07,3.9791e+06,4.73993e+07,3.06823e+07,7.80816e+07,66.1467,331.107,1.73346e+08,1.73346e+08,2.98023e-08,657.419,3.7899,8466.26,5480.93,14608.4,-3.63798e-12,14442.8,165.553,0,331.107,0;0.00391007;0.00391007;0;0.00782014;0.852395;0;0.00782014
20,808,D20/seed_808,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.643353,11,263,67,1378,0,6,0.00228087,0.0041865,0.0703812,2.72126e+08,1.67485e+07,3.9791e+06,4.73994e+07,3.06823e+07,7.80816e+07,60.524,335.311,1.73346e+08,1.73346e+08,0,658.495,3.79172,8477.23,5470.98,14610.5,-1.81899e-12,14442.8,167.655,0,335.311,0.0322581;0.00782014;0.00391007;0.00195503;0;0.0703812;0;0
20,909,D20/seed_909,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.683108,11,278,52,1506,0,6,0.000977517,0.00040031,0.00391007,2.72126e+08,1.67485e+07,3.9791e+06,4.73994e+07,3.06823e+07,7.80817e+07,6.35383,432.328,1.73346e+08,1.73346e+08,2.98023e-08,659.355,3.80153,8494.79,5501.06,14659,1.81899e-12,14442.8,216.164,0,432.328,0;0;0;0;0.00391007;0;0.00195503;0
20,1010,D20/seed_1010,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.686458,11,274,56,1444,0,6,0.000651678,0.000680192,0.00391007,2.72126e+08,1.67485e+07,3.9791e+06,4.73994e+07,3.06823e+07,7.80817e+07,4.29853,422.599,1.73346e+08,1.73346e+08,0,659.57,3.80151,8494.05,5496.72,14654.1,3.63798e-12,14442.8,211.299,0,422.599,0.00391007;0.000977517;0;0;0;0;0;0.00293255
