order_id,size_id,scenario_id,screening_dimension,level,random_seed,delta,gamma,status,validation_status,completion_marker,output_directory
35,10x30,DELTA_01000_GAMMA_050,delta,1000,909,1000,0.5,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_909/DELTA_01000_GAMMA_050
36,10x30,DELTA_02000_GAMMA_050,delta,2000,909,2000,0.5,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_909/DELTA_02000_GAMMA_050
37,10x30,DELTA_05000_GAMMA_050,delta,5000,909,5000,0.5,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_909/DELTA_05000_GAMMA_050
38,10x30,DELTA_07500_GAMMA_050,delta,7500,909,7500,0.5,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_909/DELTA_07500_GAMMA_050
39,10x30,DELTA_10000_GAMMA_050,delta,10000,909,10000,0.5,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_909/DELTA_10000_GAMMA_050
40,10x30,DELTA_15000_GAMMA_050,delta,15000,909,15000,0.5,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_909/DELTA_15000_GAMMA_050
41,10x30,DELTA_03000_GAMMA_010,gamma,0.1,909,3000,0.1,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_909/DELTA_03000_GAMMA_010
42,10x30,DELTA_03000_GAMMA_020,gamma,0.2,909,3000,0.2,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_909/DELTA_03000_GAMMA_020
43,10x30,DELTA_03000_GAMMA_030,gamma,0.3,909,3000,0.3,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_909/DELTA_03000_GAMMA_030
44,10x30,DELTA_03000_GAMMA_040,gamma,0.4,909,3000,0.4,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_909/DELTA_03000_GAMMA_040
45,10x30,DELTA_03000_GAMMA_060,gamma,0.6,909,3000,0.6,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_909/DELTA_03000_GAMMA_060
46,10x30,DELTA_03000_GAMMA_070,gamma,0.7,909,3000,0.7,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_909/DELTA_03000_GAMMA_070
47,10x30,DELTA_03000_GAMMA_080,gamma,0.8,909,3000,0.8,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_909/DELTA_03000_GAMMA_080
48,10x30,DELTA_03000_GAMMA_090,gamma,0.9,909,3000,0.9,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_909/DELTA_03000_GAMMA_090
