dc_index,dc_id,market_index,market_id,distance_km,transport_cost_coefficient,transport_emission_coefficient
3,C04,13,M14,224.651,87.6137,0.0157166
3,C04,14,M15,335.131,130.701,0.0234458
4,C05,0,C01,174.415,68.0218,0.0122021
4,C05,1,C02,272.101,106.119,0.0190362
4,C05,2,C03,143.821,56.0903,0.0100617
4,C05,3,C04,184.082,71.7918,0.0128784
4,C05,4,C05,10,3.9,0.0006996
4,C05,5,C06,149.464,58.2911,0.0104565
4,C05,6,C07,404.946,157.929,0.02833
4,C05,7,C08,85.317,33.2737,0.00596878
4,C05,8,M09,198.64,77.4694,0.0138969
4,C05,9,M10,246.416,96.1023,0.0172393
4,C05,10,M11,289.205,112.79,0.0202328
4,C05,11,M12,57.665,22.4892,0.00403424
4,C05,12,M13,80.526,31.4053,0.0056336
4,C05,13,M14,265.505,103.547,0.0185747
4,C05,14,M15,170.665,66.5593,0.0119397
5,C06,0,C01,213.613,83.3092,0.0149444
5,C06,1,C02,415.566,162.071,0.029073
5,C06,2,C03,216.801,84.5525,0.0151674
5,C06,3,C04,263.046,102.588,0.0184027
5,C06,4,C05,150.3,58.6169,0.010515
5,C06,5,C06,10,3.9,0.0006996
5,C06,6,C07,554.761,216.357,0.0388111
5,C06,7,C08,148.427,57.8866,0.010384
5,C06,8,M09,303.842,118.498,0.0212568
5,C06,9,M10,288.388,112.471,0.0201756
5,C06,10,M11,370.144,144.356,0.0258953
5,C06,11,M12,107.025,41.7399,0.00748747
5,C06,12,M13,220.242,85.8942,0.0154081
5,C06,13,M14,415.32,161.975,0.0290558
5,C06,14,M15,235.049,91.669,0.016444
6,C07,0,C01,463.365,180.713,0.032417
6,C07,1,C02,171.093,66.7263,0.0119697
6,C07,2,C03,374.416,146.022,0.0261941
6,C07,3,C04,345.917,134.908,0.0242004
6,C07,4,C05,409.138,159.564,0.0286233
6,C07,5,C06,554.816,216.378,0.0388149
6,C07,6,C07,10,3.9,0.0006996
6,C07,7,C08,426.072,166.168,0.029808
6,C07,8,M09,298.235,116.312,0.0208645
6,C07,9,M10,403.733,157.456,0.0282452
6,C07,10,M11,301.243,117.485,0.021075
6,C07,11,M12,468.512,182.72,0.0327771
6,C07,12,M13,349.161,136.173,0.0244273
6,C07,13,M14,149.56,58.3285,0.0104632
6,C07,14,M15,484.527,188.965,0.0338975
7,C08,0,C01,97.311,37.9511,0.00680788
7,C08,1,C02,283.339,110.502,0.0198224
7,C08,2,C03,72.6,28.3141,0.0050791
7,C08,3,C04,120.29,46.9129,0.00841549
7,C08,4,C05,84.99,33.1461,0.0059459
7,C08,5,C06,148.033,57.733,0.0103564
7,C08,6,C07,423.098,165.008,0.0295999
7,C08,7,C08,10,3.9,0.0006996
7,C08,8,M09,161.086,62.8235,0.0112696
7,C08,9,M10,164.042,63.9766,0.0114764
7,C08,10,M11,227.387,88.6811,0.015908
7,C08,11,M12,97.125,37.8786,0.00679486
7,C08,12,M13,81.637,31.8383,0.00571132
7,C08,13,M14,283.657,110.626,0.0198446
7,C08,14,M15,237.75,92.7225,0.016633
