dc_index,dc_id,market_index,market_id,physical_distance_km,transport_cost_coefficient,transport_emission_coefficient
2,C03,12,M13,92.516999999999996,36.081747,0.0064724893200000001
2,C03,13,M14,256.37599999999998,99.986562000000006,0.017936064959999998
2,C03,14,M15,295.52499999999998,115.254828,0.020674928999999998
3,C04,0,C01,130.46799999999999,50.882675999999996,0.00912754128
3,C04,1,C02,185.44900000000001,72.324954000000005,0.012974012040000002
3,C04,2,C03,41.136000000000003,16.042845,0.0028778745600000002
3,C04,3,C04,15,5.8500000000000005,0.0010494
3,C04,4,C05,183.19200000000001,71.444801999999996,0.012816112320000001
3,C04,5,C06,255.22900000000001,99.539466000000004,0.017855820840000002
3,C04,6,C07,343.53699999999998,133.97939099999999,0.024033848519999998
3,C04,7,C08,117.35899999999999,45.769854000000002,0.0082104356399999995
3,C04,8,M09,58.052999999999997,22.640865000000002,0.0040613878799999996
3,C04,9,M10,119.154,46.470216000000001,0.0083360138399999999
3,C04,10,M11,129.46199999999999,50.489984999999997,0.009057161519999999
3,C04,11,M12,198.339,77.352405000000005,0.013875796439999999
3,C04,12,M13,121.86499999999999,47.527233000000003,0.0085256754000000001
3,C04,13,M14,224.65100000000001,87.613733999999994,0.015716583960000002
3,C04,14,M15,335.13099999999997,130.700973,0.023445764759999998
4,C05,0,C01,174.41499999999999,68.021811,0.012202073399999999
4,C05,1,C02,272.101,106.11927300000001,0.01903618596
4,C05,2,C03,143.821,56.090307000000003,0.010061717160000001
4,C05,3,C04,184.08199999999999,71.791785000000004,0.012878376719999999
4,C05,4,C05,15,5.8500000000000005,0.0010494
4,C05,5,C06,149.464,58.291077000000001,0.01045650144
4,C05,6,C07,404.94600000000003,157.92886200000001,0.028330022160000003
4,C05,7,C08,85.316999999999993,33.273747,0.0059687773199999994
4,C05,8,M09,198.63999999999999,77.469443999999996,0.013896854399999999
4,C05,9,M10,246.416,96.102317999999997,0.01723926336
4,C05,10,M11,289.20499999999998,112.79006699999999,0.020232781799999999
4,C05,11,M12,57.664999999999999,22.489194000000001,0.0040342434
4,C05,12,M13,80.525999999999996,31.405296,0.0056335989599999997
4,C05,13,M14,265.505,103.54679400000001,0.018574729799999998
4,C05,14,M15,170.66499999999999,66.559349999999995,0.011939723399999999
5,C06,0,C01,213.613,83.309186999999994,0.014944365480000001
5,C06,1,C02,415.56599999999997,162.07077899999999,0.029072997359999998
5,C06,2,C03,216.80099999999999,84.552468000000005,0.015167397959999999
5,C06,3,C04,263.04599999999999,102.587862,0.018402698160000001
5,C06,4,C05,150.30000000000001,58.616883000000001,0.010514988000000001
5,C06,5,C06,15,5.8500000000000005,0.0010494
5,C06,6,C07,554.76099999999997,216.35663400000001,0.038811079559999996
5,C06,7,C08,148.42699999999999,57.886608000000003,0.01038395292
5,C06,8,M09,303.84199999999998,118.498419,0.021256786319999998
5,C06,9,M10,288.38799999999998,112.471476,0.020175624479999998
5,C06,10,M11,370.14400000000001,144.356121,0.025895274240000002
5,C06,11,M12,107.02500000000001,41.739905999999998,0.0074874690000000009
5,C06,12,M13,220.24199999999999,85.894223999999994,0.01540813032
5,C06,13,M14,415.31999999999999,161.974605,0.029055787199999999
5,C06,14,M15,235.04900000000001,91.669032000000001,0.016444028039999999
6,C07,0,C01,463.36500000000001,180.71254500000001,0.032417015399999999
6,C07,1,C02,171.09299999999999,66.72627,0.011969666279999999
6,C07,2,C03,374.416,146.02231800000001,0.026194143360000002
6,C07,3,C04,345.91699999999997,134.90778599999999,0.02420035332
6,C07,4,C05,409.13799999999998,159.563976,0.028623294479999999
6,C07,5,C06,554.81600000000003,216.37827899999999,0.038814927360000001
6,C07,6,C07,15,5.8500000000000005,0.0010494
6,C07,7,C08,426.072,166.16823600000001,0.029807997120000002
6,C07,8,M09,298.23500000000001,116.311572,0.020864520600000002
6,C07,9,M10,403.733,157.45567500000001,0.028245160679999999
6,C07,10,M11,301.24299999999999,117.484809,0.021074960279999999
6,C07,11,M12,468.512,182.71956299999999,0.032777099519999998
6,C07,12,M13,349.161,136.172595,0.024427303560000002
6,C07,13,M14,149.56,58.328516999999998,0.0104632176
6,C07,14,M15,484.52699999999999,188.96541300000001,0.03389750892
7,C08,0,C01,97.311000000000007,37.951095000000002,0.0068078775600000007
7,C08,1,C02,283.339,110.502132,0.019822396440000001
7,C08,2,C03,72.599999999999994,28.314077999999999,0.005079096
7,C08,3,C04,120.29000000000001,46.912905000000002,0.0084154884000000006
7,C08,4,C05,84.989999999999995,33.146099999999997,0.0059459003999999998
7,C08,5,C06,148.03299999999999,57.732987000000001,0.01035638868
7,C08,6,C07,423.09800000000001,165.00821999999999,0.02959993608
7,C08,7,C08,15,5.8500000000000005,0.0010494
7,C08,8,M09,161.08600000000001,62.823461999999999,0.011269576560000001
7,C08,9,M10,164.042,63.976574999999997,0.011476378320000001
7,C08,10,M11,227.387,88.681124999999994,0.01590799452
7,C08,11,M12,97.125,37.878594,0.0067948649999999998
7,C08,12,M13,81.637,31.838273999999998,0.0057113245199999999
7,C08,13,M14,283.65699999999998,110.62619100000001,0.019844643719999999
7,C08,14,M15,237.75,92.722538999999998,0.01663299
