distance_km,seed,output_dir,validation_status,outer_status,final_inner_bp_status,integer_solution,relative_gap,termination_reason,wall_time_sec,ga_generations,actual_bp_calls,fitness_cache_hits,cg_iterations,branch_nodes,num_open_dcs,open_dc_indices,open_dc_ids,num_served_markets,served_market_indices,served_market_ids,num_unserved_markets,unserved_market_indices,unserved_market_ids,mean_w_open_dcs,demand_weighted_mean_w,max_w,min_w,revenue,facility_fixed_cost,inventory_cost,supplier_dc_transport_cost,dc_market_transport_cost,total_transport_cost,investment_cost,carbon_trading_cost,reported_total_profit,recomputed_total_profit,objective_decomposition_error,facility_emission,inventory_emission,supplier_dc_transport_emission,dc_market_transport_emission,total_emission,emission_decomposition_error,carbon_quota,allowance_shortage,allowance_surplus,net_carbon_trading_cost,best_w
5,101,D05/seed_101,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.60424167900000003,11,259,71,1540,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,13,8;10;12;13;2;3;4;9;11;1;6;7;14,M09;M11;M13;M14;C03;C04;C05;M10;M12;C02;C07;C08;M15,2,0;5,C01;C06,0.0019550342130987292,0.0029468344961986978,0.0078201368523949169,0,277769320,16748517.419354839,4144519.6402730159,56481866.087457702,25203330.514499981,81685196.601957679,46.690197280341081,1644.5778874768221,175219925.33398923,175219925.33398926,-2.9802322387695312e-08,658.70967741935476,3.9517110179361472,10097.722819857032,4504.7476214879771,15265.1318297823,0,14442.842886043889,822.28894373841104,0,1644.5778874768221,0;0.0019550342130987292;0.00097751710654936461;0.0078201368523949169;0;0;0;0.00097751710654936461
5,202,D05/seed_202,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.60883705499999996,11,259,71,1550,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,13,8;10;12;13;2;3;4;9;11;1;6;7;14,M09;M11;M13;M14;C03;C04;C05;M10;M12;C02;C07;C08;M15,2,0;5,C01;C06,0.0030954708374063213,0.0041094670516861964,0.2013685239491691,0,277769320,16748515.913978495,4144519.6306562438,56481835.244831465,25203329.839710094,81685165.084541559,71.805354507021519,1611.5454782433444,175219933.25124127,175219933.2512413,-2.9802322387695312e-08,657.95698924731187,3.9469026399290343,10082.301506734262,4504.4102265440588,15248.615625165561,1.8189894035458565e-12,14442.842886043889,805.7727391216722,0,1611.5454782433444,0;0;0.0058651026392961877;0.0078201368523949169;0.00097751710654936461;0.2013685239491691;0.0039100684261974585;0
5,303,D05/seed_303,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.65252563399999997,11,273,57,1629,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,13,8;10;12;13;2;3;4;9;11;1;6;7;14,M09;M11;M13;M14;C03;C04;C05;M10;M12;C02;C07;C08;M15,2,0;5,C01;C06,0.00081459758879113718,0.00047279242827014551,0.50048875855327468,0,277769320,16748518.924731184,4144519.6547268489,56481912.529843435,25203354.877381079,81685267.407224506,9.7824688677674825,1716.9029844566467,175219889.91662067,175219889.91662064,2.9802322387695312e-08,659.46236559139788,3.9589379225467418,10120.944012721875,4516.9290620363945,15301.294378272212,1.8189894035458565e-12,14442.842886043889,858.45149222832333,0,1716.9029844566467,0.50048875855327468;0;0;0;0;0;0;0.0048875855327468231
5,404,D05/seed_404,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.52890881300000003,11,268,62,1599,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,13,8;10;12;13;2;3;4;9;11;1;6;7;14,M09;M11;M13;M14;C03;C04;C05;M10;M12;C02;C07;C08;M15,2,0;5,C01;C06,0.0027696318018898664,0.0026166962135449941,0.0078201368523949169,0,277769320,16748516.344086021,4144519.6382755605,56481874.322986305,25203332.179531168,81685206.502517477,50.039308567797349,1653.4011809794865,175219913.16158453,175219913.16158447,5.9604644775390625e-08,658.17204301075265,3.9507122922347246,10101.840584148124,4505.5801370825193,15269.543476533632,-1.8189894035458565e-12,14442.842886043889,826.70059048974326,0,1653.4011809794865,0;0.00097751710654936461;0;0.0019550342130987292;0;0;0.0078201368523949169;0.0058651026392961877
5,505,D05/seed_505,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.678006212,11,279,51,1654,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,13,8;10;12;13;2;3;4;9;11;1;6;7;14,M09;M11;M13;M14;C03;C04;C05;M10;M12;C02;C07;C08;M15,2,0;5,C01;C06,0.0039100684261974585,0.0037472721851007011,0.011730205278592375,0,277769320,16748514.838709679,4144519.6301650708,56481835.203267701,25203332.545000218,81685167.748267919,97.050162602726829,1613.1334446125984,175219906.41846681,175219906.41846681,0,657.41935483870964,3.9466570538928512,10082.280724852699,4505.7628716048885,15249.409608350188,1.8189894035458565e-12,14442.842886043889,806.5667223062992,0,1613.1334446125984,0;0;0.0039100684261974585;0.0078201368523949169;0.011730205278592375;0;0;0
5,606,D05/seed_606,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.63477194599999998,11,262,68,1553,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,13,8;10;12;13;2;3;4;9;11;1;6;7;14,M09;M11;M13;M14;C03;C04;C05;M10;M12;C02;C07;C08;M15,2,0;5,C01;C06,0.0013033561420658195,0.0016982313767191913,0.56304985337243407,0,277769320,16748518.279569892,4144519.6474322742,56481893.147282831,25203348.168752089,81685241.316034913,13.736973260824174,1690.1593390103335,175219912.70576176,175219912.70576173,2.9802322387695312e-08,659.13978494623655,3.9552906410830078,10111.252732420051,4513.5747475416883,15287.922555549056,3.637978807091713e-12,14442.842886043889,845.07966950516675,0,1690.1593390103335,0.00097751710654936461;0.0019550342130987292;0.0039100684261974585;0.0019550342130987292;0;0.56304985337243407;0;0
5,707,D05/seed_707,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.62657553499999996,11,264,66,1563,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,13,8;10;12;13;2;3;4;9;11;1;6;7;14,M09;M11;M13;M14;C03;C04;C05;M10;M12;C02;C07;C08;M15,2,0;5,C01;C06,0.0039100684261974585,0.0027397817221818201,0.0078201368523949169,0,277769320,16748514.838709677,4144519.6338967206,56481865.146869071,25203336.941088971,81685202.087958038,62.591484644040811,1647.4768663762079,175219906.53372303,175219906.53372303,0,657.41935483870964,3.9485228760330142,10097.252525534999,4507.9609159822503,15266.581319231993,0,14442.842886043889,823.73843318810395,0,1647.4768663762079,0;0.0039100684261974585;0.0039100684261974585;0;0.0078201368523949169;0.0078201368523949169;0;0.0078201368523949169
5,808,D05/seed_808,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.61606690600000003,11,257,73,1518,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,13,8;10;12;13;2;3;4;9;11;1;6;7;14,M09;M11;M13;M14;C03;C04;C05;M10;M12;C02;C07;C08;M15,2,0;5,C01;C06,0.0022808732486151841,0.0020747449438332098,0.1573802541544477,0,277769320,16748516.989247311,4144519.6423279205,56481871.854377262,25203345.771343078,81685217.625720337,36.561545215426037,1665.1735975134907,175219914.86693129,175219914.86693126,2.9802322387695312e-08,658.49462365591398,3.9527384684310944,10100.606279639302,4512.3760430369857,15275.429684800634,-1.8189894035458565e-12,14442.842886043889,832.58679875674534,0,1665.1735975134907,0.1573802541544477;0;0.0039100684261974585;0.0019550342130987292;0;0.070381231671554259;0;0.0078201368523949169
5,909,D05/seed_909,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.663660892,11,277,53,1648,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,13,8;10;12;13;2;3;4;9;11;1;6;7;14,M09;M11;M13;M14;C03;C04;C05;M10;M12;C02;C07;C08;M15,2,0;5,C01;C06,0.0035842293906810031,0.0039066162567717886,0.25024437927663734,0,277769320,16748515.268817203,4144519.6302661039,56481837.389889948,25203320.645107701,81685158.034997642,81.648733639245336,1603.8503829214751,175219931.10295746,175219931.10295749,-2.9802322387695312e-08,657.63440860215053,3.9467075709834742,10083.374035981109,4499.8129253503839,15244.768077504626,1.8189894035458565e-12,14442.842886043889,801.92519146073755,0,1603.8503829214751,0.25024437927663734;0;0;0.0078201368523949169;0.00097751710654936461;0;0.0048875855327468231;0.0078201368523949169
5,1010,D05/seed_1010,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.68733988300000004,11,276,54,1633,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,13,8;10;12;13;2;3;4;9;11;1;6;7;14,M09;M11;M13;M14;C03;C04;C05;M10;M12;C02;C07;C08;M15,2,0;5,C01;C06,0.0013033561420658195,0.0010222176891934779,0.23460410557184752,0,277769320,16748518.279569894,4144519.650456103,56481904.864978507,25203349.319370057,81685254.184348568,14.430095253296974,1703.0306764853558,175219899.14130226,175219899.14130229,-2.9802322387695312e-08,659.13978494623643,3.956802553145442,10117.111580260007,4514.150056527179,15294.358224286567,0,14442.842886043889,851.5153382426779,0,1703.0306764853558,0.0078201368523949169;0;0;0;0;0.23460410557184752;0.0039100684261974585;0.0039100684261974585
