sensitivity_dimension,sensitivity_level,size_id,scenario_id,random_seed,delta,investment_exponent,outer_method,outer_solution_status,final_inner_bp_status,final_inner_bp_certified,integer_solution,termination_reason,total_profit,carbon_emission,total_investment_cost,investment_recomputed,investment_abs_diff,e_plus,e_minus,net_carbon_trading_cost,num_dc_open,open_dc_set,w_vector_candidate_dc,w_vector_length,w_vector_expected_length,w_vector_normalization_status,w_vector_raw_source,positive_w_count,mean_positive_w,mean_all_candidate_w,mean_open_dc_w,max_w,min_positive_w,ga_generations,actual_bp_calls,cache_hit_rate,cg_iterations,branch_nodes,wall_time_sec,user_time_sec,system_time_sec,algorithm_commit,formal_tag,config_sha256,instance_fingerprint
gamma,0.4,10x30,DELTA_03000_GAMMA_040,404,3000,0.4,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2177049.54549519,29259.0737448009,364516.302744077,364516.302744077,0,0,70740.9262551991,-141481.852510398,7,0;2;4;6;7;8;9,1;0.093841642228739;0.966764418377322;0.966764418377322;0.480938416422287;0.412512218963832;0.914956011730205;0.997067448680352;0.78494623655914;0.958944281524927,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.7576735092864126,0.7576735092864126,0.8719452590420332,1.0,0.093841642228739,28,686,0.18333333333333332,15546,185,24.208011071,24.208011071,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.6,10x30,DELTA_03000_GAMMA_060,404,3000,0.6,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,1600942.08853313,416749.108431086,88199.1591448371,88199.1591448371,0,316749.108431086,0,633498.216862171,9,0;1;2;4;5;6;7;8;9,0.205278592375367;0.0684261974584555;0.144672531769306;0.310850439882698;0.15347018572825;0.105571847507331;0.116324535679374;0.167155425219941;0.0596285434995112;0.267839687194526,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.15992179863147596,0.15992179863147596,0.14315194960356242,0.310850439882698,0.0596285434995112,40,993,0.1725,20746,431,31.248343394,31.248343394,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.7,10x30,DELTA_03000_GAMMA_070,404,3000,0.7,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,1543057.08942809,471792.641602585,35894.6572238615,35894.6572238615,0,371792.641602585,0,743585.283205171,9,0;1;2;4;5;6;7;8;9,0.0782013685239492;0.125122189638319;0.0166177908113392;0.0625610948191593;0.128054740957967;0.0527859237536657;0.0332355816226784;0.0664711632453568;0.0625610948191593;0.0742913000977517,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.06999022482893456,0.06999022482893456,0.07081568371890959,0.128054740957967,0.0166177908113392,34,823,0.1931372549019608,13364,123,18.327455103,18.327455103,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.9,10x30,DELTA_03000_GAMMA_090,404,3000,0.9,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,1517482.88810585,501119.658196676,2744.61647512914,2744.61647512914,0,401119.658196676,0,802239.316393351,9,0;1;2;4;5;6;7;8;9,0.00782013685239492;0;0.0156402737047898;0.000977517106549365;0.000977517106549365;0;0.00293255131964809;0;0.00488758553274682;0.00782013685239492,10,10,VALID_EXACT_LENGTH,result.csv:best_w,7,0.0058651026392961825,0.004105571847507328,0.004453133485391546,0.0156402737047898,0.000977517106549365,11,255,0.22727272727272727,3382,17,6.469240657,6.469240657,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.1,10x30,DELTA_03000_GAMMA_010,505,3000,0.1,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2590452.78359494,11933.4487249128,30954.8365270267,30954.8365270267,0,0,88066.5512750872,-176133.102550174,9,0;1;2;4;5;6;7;8;9,0.996089931573803;0.951124144672532;0.946236559139785;0.192570869990225;0.990224828934506;0.999022482893451;0.990224828934506;0.958944281524927;0.921798631476051;0.996089931573803,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.8942326490713589,0.8942326490713589,0.9721950689692627,0.999022482893451,0.192570869990225,50,1195,0.20333333333333334,24869,72,30.146603564,30.146603564,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.3,10x30,DELTA_03000_GAMMA_030,505,3000,0.3,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2433631.67532621,22425.6087398947,159670.550706067,159670.550706067,0,0,77574.3912601053,-155148.782520211,9,0;1;2;4;5;6;7;8;9,0.579667644183773;0.96969696969697;0.98435972629521;0.726295210166178;0.896383186705767;0.993157380254154;0.989247311827957;0.719452590420332;0.979472140762463;0.790811339198436,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.862854349951124,0.862854349951124,0.8780275877050069,0.993157380254154,0.579667644183773,32,786,0.18125,16178,69,20.77799136,20.77799136,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.4,10x30,DELTA_03000_GAMMA_040,505,3000,0.4,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2203998.13191335,63839.7848294901,297452.840088424,297452.840088424,0,0,36160.2151705099,-72320.4303410198,9,0;1;2;4;5;6;7;8;9,0.566959921798632;0.802541544477028;0.671554252199413;0.44574780058651;0.43010752688172;0.996089931573803;0.990224828934506;0.608015640273705;0.927663734115347;0.352883675464321,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.6791788856304984,0.6791788856304984,0.7051156728576083,0.996089931573803,0.352883675464321,17,427,0.1627450980392157,8557,52,11.777836004,11.777836004,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.6,10x30,DELTA_03000_GAMMA_060,505,3000,0.6,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,1829579.89396957,357045.733285055,68344.1394132706,68344.1394132706,0,257045.733285055,0,514091.466570109,9,0;1;2;4;5;6;7;8;9,0.113391984359726;0.148582600195503;0.125122189638319;0.00782013685239492;0.140762463343109;0.132942326490714;0.234604105571848;0.132942326490714;0.112414467253177;0.133919843597263,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.1282502443792768,0.1282502443792768,0.14163136743781923,0.234604105571848,0.00782013685239492,38,926,0.18771929824561404,15379,58,17.518627718,17.518627718,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.7,10x30,DELTA_03000_GAMMA_070,505,3000,0.7,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,1782609.76352038,397910.182241683,33480.997211251,33480.997211251,0,297910.182241683,0,595820.364483367,9,0;1;2;4;5;6;7;8;9,0.0312805474095797;0.0957966764418377;0.0791788856304985;0;0;0.032258064516129;0.125122189638319;0.032258064516129;0.032258064516129;0.0175953079178886,10,10,VALID_EXACT_LENGTH,result.csv:best_w,8,0.05571847507331381,0.04457478005865105,0.04952753339850117,0.125122189638319,0.0175953079178886,25,614,0.18133333333333335,10227,9,18.730083376,18.730083376,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.9,10x30,DELTA_03000_GAMMA_090,505,3000,0.9,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,1764905.9245094,418939.466857457,1952.20693991636,1952.20693991636,0,318939.466857457,0,637878.933714914,9,0;1;2;4;5;6;7;8;9,0.00195503421309873;0;0.00391006842619746;0;0;0;0;0.00586510263929619;0;0.0156402737047898,10,10,VALID_EXACT_LENGTH,result.csv:best_w,4,0.0068426197458455445,0.002737047898338218,0.003041164331486909,0.0156402737047898,0.00195503421309873,11,275,0.16666666666666666,3510,0,9.002477297,9.002477297,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
