sensitivity_dimension,sensitivity_level,size_id,scenario_id,random_seed,delta,investment_exponent,outer_method,outer_solution_status,final_inner_bp_status,final_inner_bp_certified,integer_solution,termination_reason,total_profit,carbon_emission,total_investment_cost,investment_recomputed,investment_abs_diff,e_plus,e_minus,net_carbon_trading_cost,num_dc_open,open_dc_set,w_vector_candidate_dc,w_vector_length,w_vector_expected_length,w_vector_normalization_status,w_vector_raw_source,positive_w_count,mean_positive_w,mean_all_candidate_w,mean_open_dc_w,max_w,min_positive_w,ga_generations,actual_bp_calls,cache_hit_rate,cg_iterations,branch_nodes,wall_time_sec,user_time_sec,system_time_sec,algorithm_commit,formal_tag,config_sha256,instance_fingerprint
gamma,0.1,10x30,DELTA_03000_GAMMA_010,202,3000,0.1,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2930747.34778126,9893.23700455003,27783.1186022667,27783.1186022667,0,0,90106.76299545,-180213.5259909,8,0;1;2;5;6;7;8;9,0.999022482893451;0.991202346041056;0.939393939393939;0.578690127077224;0.56891495601173;0.871945259042033;0.996089931573803;0.949169110459433;0.992179863147605;0.98533724340176,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.8871945259042033,0.8871945259042033,0.9655425219941349,0.999022482893451,0.56891495601173,39,910,0.2222222222222222,19691,1,27.662533627,27.662533627,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.3,10x30,DELTA_03000_GAMMA_030,202,3000,0.3,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2783977.93321029,15147.7784915367,158396.208154441,158396.208154441,0,0,84852.2215084633,-169704.443016927,8,0;1;2;5;6;7;8;9,0.898338220918866;0.974584555229717;0.971652003910068;0.43010752688172;0.684261974584555;0.786901270772238;0.998044965786901;0.972629521016618;0.776148582600195;0.994134897360704,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.8486803519061582,0.8486803519061582,0.9215542521994133,0.998044965786901,0.43010752688172,40,944,0.21333333333333335,22751,0,30.993640239,30.993640239,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.4,10x30,DELTA_03000_GAMMA_040,202,3000,0.4,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2559880.60582887,61696.4123995986,265860.312199009,265860.312199009,0,0,38303.5876004014,-76607.1752008027,7,0;1;2;5;6;7;9,0.659824046920821;0.779081133919844;0.587487781036168;0.490713587487781;0.670576735092864;0.532746823069404;0.953079178885631;0.790811339198436;0.422287390029326;0.963831867057674,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.685043988269795,0.685043988269795,0.7524088814411397,0.963831867057674,0.422287390029326,19,469,0.17719298245614035,11891,5,17.406624786,17.406624786,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.6,10x30,DELTA_03000_GAMMA_060,202,3000,0.6,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2240447.65346603,283889.350919866,89799.0639979445,89799.0639979445,0,183889.350919866,0,367778.701839732,7,0;1;2;3;5;6;9,0.0987292277614858;0.187683284457478;0.125122189638319;0.127077223851417;0.269794721407625;0.141739980449658;0.192570869990225;0.13782991202346;0.535679374389052;0.258064516129032,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.20742913000977517,0.20742913000977517,0.1615696131825164,0.535679374389052,0.0987292277614858,34,817,0.19901960784313724,18687,1,28.359597252,28.359597252,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.7,10x30,DELTA_03000_GAMMA_070,202,3000,0.7,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2213157.65691511,338076.311616762,8572.15895105575,8572.15895105575,0,238076.311616762,0,476152.623233523,7,0;1;2;3;5;6;9,0;0.000977517106549365;0.0625610948191593;0.0175953079178886;0.822091886608016;0.0557184750733138;0.0420332355816227;0.110459433040078;0;0.032258064516129,10,10,VALID_EXACT_LENGTH,result.csv:best_w,8,0.1429618768328446,0.11436950146627568,0.03016338500209468,0.822091886608016,0.000977517106549365,16,390,0.1875,9958,20,28.99121986,28.99121986,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.9,10x30,DELTA_03000_GAMMA_090,202,3000,0.9,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2202529.00950095,347181.756523549,962.307526612631,962.307526612631,0,247181.756523549,0,494363.513047099,7,0;1;2;3;5;6;9,0;0.00879765395894428;0;0;0;0;0;0.00195503421309873;0;0.00391006842619746,10,10,VALID_EXACT_LENGTH,result.csv:best_w,3,0.004887585532746824,0.0014662756598240471,0.001815388912163106,0.00879765395894428,0.00195503421309873,11,268,0.18787878787878787,5324,1,24.907000587,24.907000587,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,00500,10x30,DELTA_00500_GAMMA_050,303,500,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2706151.70985679,40133.2334408255,160743.06740747,160743.06740747,0,0,59866.7665591745,-119733.533118349,8,0;1;2;4;5;6;8;9,0.822091886608016;0.887585532746823;0.978494623655914;0.212121212121212;0.884652981427175;0.932551319648094;0.73802541544477;0.186705767350929;0.934506353861193;0.958944281524927,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.7535679374389053,0.7535679374389053,0.892106549364614,0.978494623655914,0.186705767350929,18,463,0.1425925925925926,8010,93,13.111713931,13.111713931,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,01000,10x30,DELTA_01000_GAMMA_050,303,1000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2567384.37388222,23156.284278842,364484.804033913,364484.804033913,0,0,76843.715721158,-153687.431442316,9,0;1;2;3;4;5;6;8;9,0.983382209188661;0.961876832844575;0.994134897360704;0.996089931573803;0.957966764418377;0.971652003910068;0.434017595307918;0.136852394916911;0.779081133919844;1,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.8215053763440862,0.8215053763440862,0.8975779298359945,1.0,0.136852394916911,40,990,0.175,14473,32,27.019625747,27.019625747,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,02000,10x30,DELTA_02000_GAMMA_050,303,2000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2323513.26482852,189047.719495293,272529.564360814,272529.564360814,0,89047.7194952929,0,178095.438990586,9,0;1;2;3;4;5;6;8;9,0.418377321603128;0.606060606060606;0.625610948191593;0.418377321603128;0.650048875855327;0.648093841642229;0.179863147605083;0.504398826979472;0.296187683284457;0.770283479960899,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.5117302052785923,0.5117302052785923,0.5125448028673834,0.770283479960899,0.179863147605083,18,464,0.14074074074074075,6278,5,10.887291171,10.887291171,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,03000,10x30,DELTA_03000_GAMMA_050,303,3000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2234567.0441681,242932.118183644,245429.754102366,245429.754102366,0,142932.118183644,0,285864.236367288,9,0;1;2;3;4;5;6;8;9,0.341153470185728;0.560117302052786;0.274682306940371;0.438905180840665;0.545454545454545;0.349951124144673;0.21505376344086;0.915933528836755;0.173020527859238;0.619745845552297,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.4434017595307918,0.4434017595307918,0.390898229607907,0.915933528836755,0.173020527859238,19,489,0.14210526315789473,6858,11,10.975815408,10.975815408,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
