order_id,size_id,scenario_id,random_seed,delta,gamma,status,validation_status,completion_marker,output_directory,unique_key
48,10x30,DELTA_03000_GAMMA_030,404,3000,0.3,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_404/DELTA_03000_GAMMA_030,10x30|404|DELTA_03000_GAMMA_030
49,10x30,DELTA_03000_GAMMA_040,404,3000,0.4,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_404/DELTA_03000_GAMMA_040,10x30|404|DELTA_03000_GAMMA_040
50,10x30,DELTA_03000_GAMMA_060,404,3000,0.6,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_404/DELTA_03000_GAMMA_060,10x30|404|DELTA_03000_GAMMA_060
51,10x30,DELTA_03000_GAMMA_070,404,3000,0.7,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_404/DELTA_03000_GAMMA_070,10x30|404|DELTA_03000_GAMMA_070
52,10x30,DELTA_03000_GAMMA_090,404,3000,0.9,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_404/DELTA_03000_GAMMA_090,10x30|404|DELTA_03000_GAMMA_090
53,10x30,DELTA_00500_GAMMA_050,505,500,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_505/DELTA_00500_GAMMA_050,10x30|505|DELTA_00500_GAMMA_050
54,10x30,DELTA_01000_GAMMA_050,505,1000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_505/DELTA_01000_GAMMA_050,10x30|505|DELTA_01000_GAMMA_050
55,10x30,DELTA_02000_GAMMA_050,505,2000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_505/DELTA_02000_GAMMA_050,10x30|505|DELTA_02000_GAMMA_050
56,10x30,DELTA_03000_GAMMA_050,505,3000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_505/DELTA_03000_GAMMA_050,10x30|505|DELTA_03000_GAMMA_050
57,10x30,DELTA_05000_GAMMA_050,505,5000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_505/DELTA_05000_GAMMA_050,10x30|505|DELTA_05000_GAMMA_050
58,10x30,DELTA_10000_GAMMA_050,505,10000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_505/DELTA_10000_GAMMA_050,10x30|505|DELTA_10000_GAMMA_050
59,10x30,DELTA_15000_GAMMA_050,505,15000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_505/DELTA_15000_GAMMA_050,10x30|505|DELTA_15000_GAMMA_050
60,10x30,DELTA_03000_GAMMA_010,505,3000,0.1,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_505/DELTA_03000_GAMMA_010,10x30|505|DELTA_03000_GAMMA_010
61,10x30,DELTA_03000_GAMMA_030,505,3000,0.3,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_505/DELTA_03000_GAMMA_030,10x30|505|DELTA_03000_GAMMA_030
62,10x30,DELTA_03000_GAMMA_040,505,3000,0.4,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_505/DELTA_03000_GAMMA_040,10x30|505|DELTA_03000_GAMMA_040
63,10x30,DELTA_03000_GAMMA_060,505,3000,0.6,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_505/DELTA_03000_GAMMA_060,10x30|505|DELTA_03000_GAMMA_060
64,10x30,DELTA_03000_GAMMA_070,505,3000,0.7,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_505/DELTA_03000_GAMMA_070,10x30|505|DELTA_03000_GAMMA_070
65,10x30,DELTA_03000_GAMMA_090,505,3000,0.9,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_505/DELTA_03000_GAMMA_090,10x30|505|DELTA_03000_GAMMA_090
66,10x30,DELTA_00500_GAMMA_050,606,500,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_606/DELTA_00500_GAMMA_050,10x30|606|DELTA_00500_GAMMA_050
67,10x30,DELTA_01000_GAMMA_050,606,1000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_606/DELTA_01000_GAMMA_050,10x30|606|DELTA_01000_GAMMA_050
68,10x30,DELTA_02000_GAMMA_050,606,2000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_606/DELTA_02000_GAMMA_050,10x30|606|DELTA_02000_GAMMA_050
69,10x30,DELTA_03000_GAMMA_050,606,3000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_606/DELTA_03000_GAMMA_050,10x30|606|DELTA_03000_GAMMA_050
70,10x30,DELTA_05000_GAMMA_050,606,5000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_606/DELTA_05000_GAMMA_050,10x30|606|DELTA_05000_GAMMA_050
71,10x30,DELTA_10000_GAMMA_050,606,10000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_606/DELTA_10000_GAMMA_050,10x30|606|DELTA_10000_GAMMA_050
72,10x30,DELTA_15000_GAMMA_050,606,15000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_606/DELTA_15000_GAMMA_050,10x30|606|DELTA_15000_GAMMA_050
73,10x30,DELTA_03000_GAMMA_010,606,3000,0.1,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_606/DELTA_03000_GAMMA_010,10x30|606|DELTA_03000_GAMMA_010
