random_seed,scenario_id,level,profit_change_absolute,profit_change_percent,emissions_change_absolute,emissions_change_percent,investment_cost_change_absolute,investment_cost_change_percent,carbon_trading_net_cost_change,open_dc_count_change,network_structure_changed,positive_w_count_change,mean_positive_w_change,mean_all_candidate_w_change,mean_open_dc_w_change,max_w_change
303,DELTA_03000_GAMMA_040,0.4,260801.78189363983,11.67124443969113,-207915.53484707698,-85.58585682355253,138092.45747350203,56.26557300623999,-415831.06969415396,-1.0,True,0.0,0.34271749755620734,0.34271749755620734,0.46870587596394064,0.08015640273704794
303,DELTA_03000_GAMMA_060,0.6,-81915.81413026014,-3.6658472317511652,112950.083321524,46.49450396515278,-188899.40798128047,-76.96679185136315,225900.166643047,0.0,False,0.0,-0.22697947214076233,-0.22697947214076233,-0.259910937330292,0.06940371456500494
303,DELTA_03000_GAMMA_070,0.7,-116447.05767687038,-5.211168668256364,147920.71311228702,60.88973093317644,-224408.63174201018,-91.43497395528168,295841.426224573,0.0,False,0.0,-0.3993157380254155,-0.3993157380254155,-0.34538937764744215,-0.8455522971652008
303,DELTA_03000_GAMMA_090,0.9,-136474.48414790025,-6.107424008784122,168230.34052615103,69.249937712632,-245058.2002342457,-99.84861091130567,336460.681052303,0.0,False,-6.0,-0.4397360703812317,-0.44193548387096776,-0.38926903443032473,-0.9081133919843601
404,DELTA_03000_GAMMA_010,0.1,820745.56297405,46.21895906087336,-231022.31032422124,-96.61907312554386,-273300.19523081527,-90.29291898664981,-462044.620648442,2.0,True,0.0,0.3975562072336265,0.3975562072336265,0.5303030303030303,0.08308895405669603
404,DELTA_03000_GAMMA_030,0.3,620171.76359903,34.92396991904236,-215310.72568847,-90.04811146080517,-155954.79452341096,-51.5243452921406,-430621.45137694,1.0,True,0.0,0.24946236559139778,0.24946236559139778,0.452101661779081,0.07917888563049902
404,DELTA_03000_GAMMA_040,0.4,401272.72219401016,22.59702440805831,-209847.2464162691,-87.76315334321107,61834.54397712002,20.428896749185384,-419694.492832538,1.0,True,0.0,0.24907135874877817,0.24907135874877817,0.41593352883675455,0.08308895405669603
404,DELTA_03000_GAMMA_060,0.6,-174834.73476805002,-9.84553534396463,177642.788270016,74.29447626074874,-214482.59962211986,-70.86076164479272,355285.57654003095,3.0,True,0.0,-0.34868035190615854,-0.34868035190615854,-0.31285978060171626,-0.606060606060606
404,DELTA_03000_GAMMA_070,0.7,-232719.73387309,-13.105235456360028,232686.32144151497,97.31500249962849,-266787.1015430955,-88.14112308251195,465372.642883031,3.0,True,0.0,-0.4386119257086999,-0.4386119257086999,-0.38519604648636907,-0.788856304985337
404,DELTA_03000_GAMMA_090,0.9,-258293.93519533006,-14.545405244965416,262013.338035606,109.58026448615205,-299937.1422918278,-99.09323360406324,524026.67607121094,3.0,True,-3.0,-0.5027370478983383,-0.5044965786901271,-0.45155859671988713,-0.9012707722385142
505,DELTA_03000_GAMMA_010,0.1,646940.6313418299,33.28719249796472,-234782.5385893162,-95.16308251653194,-160143.70229195931,-83.80163620384978,-469565.077178633,0.0,False,0.0,0.5195503421309874,0.5195503421309874,0.6493971977842947,0.157380254154448
505,DELTA_03000_GAMMA_030,0.3,490119.5230731,25.218238152249544,-224290.3785743343,-90.9103544589786,-31427.988112919003,-16.445959402488416,-448580.75714867003,0.0,False,0.0,0.48817204301075245,0.48817204301075245,0.5552297165200388,0.15151515151515105
505,DELTA_03000_GAMMA_040,0.4,260485.97966024,13.402848001658189,-182876.2024847389,-74.12417998344762,106354.30126943797,55.65416770150179,-365752.40496947884,0.0,False,0.0,0.3044965786901269,0.3044965786901269,0.38231780167264034,0.15444770283480003
505,DELTA_03000_GAMMA_060,0.6,-113932.25828353991,-5.862183992596004,110329.74597082598,44.71933382667451,-122754.3994057154,-64.2361789704692,220659.49194165,0.0,False,0.0,-0.24643206256109473,-0.24643206256109473,-0.18116650374714877,-0.607038123167155
505,DELTA_03000_GAMMA_070,0.7,-160902.38873272995,-8.278949454789675,151194.19492745402,61.28269050310309,-157617.541607735,-82.47972097632564,302388.38985490793,0.0,False,-2.0,-0.31896383186705773,-0.33010752688172046,-0.2732703377864668,-0.716520039100684
505,DELTA_03000_GAMMA_090,0.9,-178606.22774370993,-9.189869357732189,172223.47954322802,69.80637186023789,-189146.33187906965,-98.97842916435613,344446.959086455,0.0,False,-6.0,-0.367839687194526,-0.3719452590420333,-0.31975670685348107,-0.8260019550342131
606,DELTA_03000_GAMMA_010,0.1,621157.3023668402,27.284370398748603,-203211.76427027344,-95.66612069865174,-192644.8182390564,-88.52846267470701,-406423.528540548,0.0,False,0.0,0.5130987292277613,0.5130987292277613,0.6455802262253874,0.015640273704789043
