sensitivity_dimension,sensitivity_level,size_id,scenario_id,random_seed,delta,investment_exponent,outer_method,outer_solution_status,final_inner_bp_status,final_inner_bp_certified,integer_solution,termination_reason,total_profit,carbon_emission,total_investment_cost,investment_recomputed,investment_abs_diff,e_plus,e_minus,net_carbon_trading_cost,num_dc_open,open_dc_set,w_vector_candidate_dc,w_vector_length,w_vector_expected_length,w_vector_normalization_status,w_vector_raw_source,positive_w_count,mean_positive_w,mean_all_candidate_w,mean_open_dc_w,max_w,min_positive_w,ga_generations,actual_bp_calls,cache_hit_rate,cg_iterations,branch_nodes,wall_time_sec,user_time_sec,system_time_sec,algorithm_commit,formal_tag,config_sha256,instance_fingerprint
delta,02000,10x30,DELTA_02000_GAMMA_050,404,2000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,1940310.1627876,90634.5964948544,435215.73313772,435215.73313772,0,0,9365.40350514564,-18730.8070102913,6,0;2;4;7;8;9,0.823069403714565;0.195503421309873;0.67644183773216;0.397849462365591;0.512218963831867;0.13782991202346;0.432062561094819;0.980449657869013;0.421309872922776;0.90713587487781,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.5483870967741934,0.5483870967741934,0.7201042684913652,0.980449657869013,0.13782991202346,22,523,0.20757575757575758,12665,320,20.337426178,20.337426178,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.5,10x30,DELTA_03000_GAMMA_050,404,3000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,1775776.82330118,239106.32016107,302681.758766957,302681.758766957,0,139106.32016107,0,278212.64032214,6,0;2;4;7;8;9,0.499511241446725;0.411534701857283;0.467253176930596;0.67644183773216;0.256109481915934;0.345063538611926;0.916911045943304;0.76930596285435;0.178885630498534;0.565004887585533,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.5086021505376345,0.5086021505376345,0.4560117302052787,0.916911045943304,0.178885630498534,16,387,0.19375,8109,112,13.546162404,13.546162404,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,05000,10x30,DELTA_05000_GAMMA_050,404,5000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,1660786.72201529,395207.944879566,161037.908607642,161037.908607642,0,295207.944879566,0,590415.889759132,8,0;1;2;4;6;7;8;9,0.397849462365591;0.157380254154448;0.197458455522972;0.222873900293255;0.0449657869012708;0.86119257086999;0.26197458455523;0.347018572825024;0.186705767350929;0.315738025415445,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.2993157380254155,0.2993157380254155,0.23863636363636373,0.86119257086999,0.0449657869012708,23,557,0.1927536231884058,12088,239,17.57696526,17.57696526,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,10000,10x30,DELTA_10000_GAMMA_050,404,10000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,1580896.34725869,447236.136958587,47211.9215959521,47211.9215959521,0,347236.136958587,0,694472.273917175,9,0;1;2;4;5;6;7;8;9,0.093841642228739;0.0782013685239492;0.125122189638319;0.278592375366569;0.0518084066471163;0.0997067448680352;0.0625610948191593;0.140762463343109;0.0498533724340176;0.146627565982405,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.11270772238514186,0.11270772238514186,0.0942760942760944,0.278592375366569,0.0498533724340176,32,795,0.171875,14689,200,21.339677113,21.339677113,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,15000,10x30,DELTA_15000_GAMMA_050,404,15000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,1558155.11001792,464688.035751827,35011.1568293952,35011.1568293952,0,364688.035751827,0,729376.071503655,9,0;1;2;4;5;6;7;8;9,0.072336265884653;0.0625610948191593;0.043010752688172;0.0625610948191593;0.00488758553274682;0.0625610948191593;0.0391006842619746;0.126099706744868;0.0703812316715543;0.0899315738025415,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.06334310850439881,0.06334310850439881,0.06342999891386987,0.126099706744868,0.00488758553274682,33,811,0.1808080808080808,13681,79,20.97832902,20.97832902,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,00500,10x30,DELTA_00500_GAMMA_050,505,500,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2440907.59180517,9075.23055347409,186214.867065004,186214.867065004,0,0,90924.7694465259,-181849.538893052,9,0;1;2;4;5;6;7;8;9,0.795698924731183;0.990224828934506;0.980449657869013;0.287390029325513;0.994134897360704;0.979472140762463;0.997067448680352;0.909090909090909;0.992179863147605;0.996089931573803,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.8921798631476051,0.8921798631476051,0.959378733572282,0.997067448680352,0.287390029325513,50,1213,0.19133333333333333,24998,106,33.981511056,33.981511056,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,01000,10x30,DELTA_01000_GAMMA_050,505,1000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2261853.74916223,42253.1964068081,291763.770361742,291763.770361742,0,0,57746.8035931919,-115493.607186384,9,0;1;2;4;5;6;7;8;9,0.424242424242424;0.950146627565982;0.951124144672532;0.319648093841642;0.610948191593353;0.958944281524927;0.989247311827957;0.608015640273705;0.978494623655914;0.593352883675464,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.73841642228739,0.73841642228739,0.7849462365591398,0.989247311827957,0.319648093841642,21,525,0.16666666666666666,11183,75,15.533656523,15.533656523,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,02000,10x30,DELTA_02000_GAMMA_050,505,2000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2033170.9199056,136138.233589695,322758.035752288,322758.035752288,0,36138.2335896954,0,72276.4671793907,9,0;1;2;4;5;6;7;8;9,0.521016617790811;0.649071358748778;0.487781036168133;0.258064516129032;0.330400782013685;0.604105571847507;0.986314760508309;0.604105571847507;0.335288367546432;0.627565982404692,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.5403714565004886,0.5403714565004886,0.5717388943195393,0.986314760508309,0.258064516129032,18,446,0.17407407407407408,9051,56,12.255411511,12.255411511,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.5,10x30,DELTA_03000_GAMMA_050,505,3000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,1943512.15225311,246715.987314229,191098.538818986,191098.538818986,0,146715.987314229,0,293431.974628459,9,0;1;2;4;5;6;7;8;9,0.170087976539589;0.411534701857283;0.350928641251222;0.841642228739003;0.186705767350929;0.428152492668622;0.61485826001955;0.241446725317693;0.072336265884653;0.429130009775171,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.3746823069403715,0.3746823069403715,0.322797871184968,0.841642228739003,0.072336265884653,32,778,0.18958333333333333,14154,43,17.420771612,17.420771612,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,05000,10x30,DELTA_05000_GAMMA_050,505,5000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,1864723.5825578,320164.095625412,122873.914184015,122873.914184015,0,220164.095625412,0,440328.191250824,9,0;1;2;4;5;6;7;8;9,0.0195503421309873;0.253176930596285;0.227761485826002;0.502443792766373;0.150537634408602;0.274682306940371;0.332355816226784;0.253176930596285;0.151515151515152;0.273704789833822,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.2438905180840663,0.2438905180840663,0.21516237645269892,0.502443792766373,0.0195503421309873,24,592,0.17777777777777778,11694,130,16.365875836,16.365875836,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
