random_seed,scenario_id,screening_total_profit,formal_total_profit,profit_absolute_difference,screening_carbon_emission,formal_carbon_emission,carbon_emission_absolute_difference,screening_total_investment_cost,formal_total_investment_cost,investment_cost_absolute_difference,screening_net_carbon_trading_cost,formal_net_carbon_trading_cost,net_carbon_trading_cost_absolute_difference,screening_num_dc_open,formal_num_dc_open,num_dc_open_match,screening_open_dc_set,formal_open_dc_set,open_dc_set_match,screening_best_w,formal_best_w,best_w_exact_match,screening_instance_fingerprint,formal_instance_fingerprint,instance_fingerprint_match,comparison_status,notes
505,DELTA_02000_GAMMA_050,2033170.9199056,2033170.9199056,0.0,136138.233589695,136138.233589695,0.0,322758.035752288,322758.035752288,0.0,72276.4671793907,72276.4671793907,0.0,9,9,True,0;1;2;4;5;6;7;8;9,0;1;2;4;5;6;7;8;9,True,0.521016617790811;0.649071358748778;0.487781036168133;0.258064516129032;0.330400782013685;0.604105571847507;0.986314760508309;0.604105571847507;0.335288367546432;0.627565982404692,0.521016617790811;0.649071358748778;0.487781036168133;0.258064516129032;0.330400782013685;0.604105571847507;0.986314760508309;0.604105571847507;0.335288367546432;0.627565982404692,True,7c8aba360e449c02166e7ea06c2073b04911af017ab5f83a19e1cbd73536650c,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
909,DELTA_02000_GAMMA_050,2456721.22372899,2456721.22372899,0.0,170925.234611746,170925.234611746,0.0,326551.36203057,326551.36203057,0.0,141850.469223492,141850.469223492,0.0,9,9,True,0;1;3;4;5;6;7;8;9,0;1;3;4;5;6;7;8;9,True,0.975562072336266;0.557184750733138;0.821114369501466;0.364613880742913;0.396871945259042;0.561094819159335;0.602150537634409;0.232649071358749;0.309872922776149;0.700879765395894,0.975562072336266;0.557184750733138;0.821114369501466;0.364613880742913;0.396871945259042;0.561094819159335;0.602150537634409;0.232649071358749;0.309872922776149;0.700879765395894,True,a1c263ced8b8701c3d40fdd9f5b512b0fdad719d7f0d62100b9c4cedcb68dea2,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
101,DELTA_03000_GAMMA_010,2939048.80701306,2939048.80701306,0.0,14006.5999444249,14006.5999444249,0.0,23374.2723024844,23374.2723024844,0.0,-171986.80011115,-171986.80011115,0.0,7,7,True,2;3;4;5;6;7;9,2;3;4;5;6;7;9,True,0.497556207233627;0.52297165200391;0.95405669599218;0.96969696969697;0.865102639296188;0.987292277614858;0.821114369501466;0.997067448680352;0.905180840664712;0.990224828934506,0.497556207233627;0.52297165200391;0.95405669599218;0.96969696969697;0.865102639296188;0.987292277614858;0.821114369501466;0.997067448680352;0.905180840664712;0.990224828934506,True,13f21ffda1ea7fd2376c5c022dab6f7e5412cf58fbd8749b8c551a67ce7fb78f,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
505,DELTA_03000_GAMMA_010,2590452.78359494,2590452.78359494,0.0,11933.4487249128,11933.4487249128,0.0,30954.8365270267,30954.8365270267,0.0,-176133.102550174,-176133.102550174,0.0,9,9,True,0;1;2;4;5;6;7;8;9,0;1;2;4;5;6;7;8;9,True,0.996089931573803;0.951124144672532;0.946236559139785;0.192570869990225;0.990224828934506;0.999022482893451;0.990224828934506;0.958944281524927;0.921798631476051;0.996089931573803,0.996089931573803;0.951124144672532;0.946236559139785;0.192570869990225;0.990224828934506;0.999022482893451;0.990224828934506;0.958944281524927;0.921798631476051;0.996089931573803,True,425df1054f9c0e9c5eddcbddef0f51028923d3debc4982021c0ee8e058d92b1e,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
909,DELTA_03000_GAMMA_010,3101606.92339097,3101606.92339097,0.0,7059.12907610066,7059.12907610066,0.0,32490.9838477087,32490.9838477087,0.0,-185881.741847799,-185881.741847799,0.0,9,9,True,0;1;3;4;5;6;7;8;9,0;1;3;4;5;6;7;8;9,True,0.995112414467253;0.961876832844575;0.825024437927664;0.999022482893451;0.963831867057674;0.992179863147605;0.999022482893451;0.973607038123167;0.991202346041056;0.993157380254154,0.995112414467253;0.961876832844575;0.825024437927664;0.999022482893451;0.963831867057674;0.992179863147605;0.999022482893451;0.973607038123167;0.991202346041056;0.993157380254154,True,f63f971a9b904efd9626d3b0065256091ad079e4a31151fb7034d5c43dd241b5,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
101,DELTA_03000_GAMMA_030,2809394.90305868,2809394.90305868,0.0,18246.8635695916,18246.8635695916,0.0,129445.33738978,129445.33738978,0.0,-163506.272860817,-163506.272860817,0.0,6,6,True,2;3;4;5;7;9,2;3;4;5;7;9,True,0.764418377321603;0.579667644183773;0.98533724340176;0.946236559139785;0.812316715542522;0.836754643206256;0.763440860215054;0.996089931573803;0.882697947214076;0.959921798631476,0.764418377321603;0.579667644183773;0.98533724340176;0.946236559139785;0.812316715542522;0.836754643206256;0.763440860215054;0.996089931573803;0.882697947214076;0.959921798631476,True,82f9d7eb4df44e90170be6f7232aba933c2f7ee70041a9a1d6db95060f13bb3a,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
505,DELTA_03000_GAMMA_030,2433631.67532621,2433631.67532621,0.0,22425.6087398947,22425.6087398947,0.0,159670.550706067,159670.550706067,0.0,-155148.782520211,-155148.782520211,0.0,9,9,True,0;1;2;4;5;6;7;8;9,0;1;2;4;5;6;7;8;9,True,0.579667644183773;0.96969696969697;0.98435972629521;0.726295210166178;0.896383186705767;0.993157380254154;0.989247311827957;0.719452590420332;0.979472140762463;0.790811339198436,0.579667644183773;0.96969696969697;0.98435972629521;0.726295210166178;0.896383186705767;0.993157380254154;0.989247311827957;0.719452590420332;0.979472140762463;0.790811339198436,True,3425f786cda55818ebf9bf9cbc08ea9e8fca27f28263f536bc7c59b0e3e8c986,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
909,DELTA_03000_GAMMA_030,2925013.49702643,2925013.49702643,0.0,13167.347349799,13167.347349799,0.0,195453.152416328,195453.152416328,0.0,-173665.305300402,-173665.305300402,0.0,9,9,True,0;1;3;4;5;6;7;8;9,0;1;3;4;5;6;7;8;9,True,0.935483870967742;0.997067448680352;0.240469208211144;0.991202346041056;0.958944281524927;0.991202346041056;0.976539589442815;0.980449657869013;0.988269794721408;0.983382209188661,0.935483870967742;0.997067448680352;0.240469208211144;0.991202346041056;0.958944281524927;0.991202346041056;0.976539589442815;0.980449657869013;0.988269794721408;0.983382209188661,True,503d88aba6e096f3ac6e0e7e56e4d9a9116c5491d352d3bdf66173a41e816f13,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
101,DELTA_03000_GAMMA_040,2632107.77830462,2632107.77830462,0.0,42632.0356149081,42632.0356149081,0.0,228671.695369314,228671.695369314,0.0,-114735.928770184,-114735.928770184,0.0,5,5,True,2;3;4;5;7,2;3;4;5;7,True,0.592375366568915;0.427174975562072;0.990224828934506;0.686217008797654;0.542521994134897;0.310850439882698;0.843597262952102;0.995112414467253;0.629521016617791;0.398826979472141,0.592375366568915;0.427174975562072;0.990224828934506;0.686217008797654;0.542521994134897;0.310850439882698;0.843597262952102;0.995112414467253;0.629521016617791;0.398826979472141,True,8150a1bef63aec8f3f71aeb4fc9b2968b74d28cce09d8e1963e38c24d843362e,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
505,DELTA_03000_GAMMA_040,2203998.13191335,2203998.13191335,0.0,63839.7848294901,63839.7848294901,0.0,297452.840088424,297452.840088424,0.0,-72320.4303410198,-72320.4303410198,0.0,9,9,True,0;1;2;4;5;6;7;8;9,0;1;2;4;5;6;7;8;9,True,0.566959921798632;0.802541544477028;0.671554252199413;0.44574780058651;0.43010752688172;0.996089931573803;0.990224828934506;0.608015640273705;0.927663734115347;0.352883675464321,0.566959921798632;0.802541544477028;0.671554252199413;0.44574780058651;0.43010752688172;0.996089931573803;0.990224828934506;0.608015640273705;0.927663734115347;0.352883675464321,True,e14c98fc1f50d163da0808a2739891a77746fc61b889f1ec9719462b78116d1e,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
