random_seed,scenario_id,level,profit_change_absolute,profit_change_percent,emissions_change_absolute,emissions_change_percent,investment_cost_change_absolute,investment_cost_change_percent,carbon_trading_net_cost_change,open_dc_count_change,network_structure_changed,positive_w_count_change,mean_positive_w_change,mean_all_candidate_w_change,mean_open_dc_w_change,max_w_change
505,DELTA_05000_GAMMA_050,05000,-78788.56969530997,-4.053927298780742,73448.10831118302,29.77030759568738,-68224.62463497101,-35.70128011266236,146896.216622365,0.0,False,0.0,-0.1307917888563052,-0.1307917888563052,-0.10763549473226908,-0.33919843597263
505,DELTA_10000_GAMMA_050,10000,-131786.71174729988,-6.780853497340873,133657.307319505,54.17456273284504,-151620.3913800618,-79.34147080197246,267314.61463901,0.0,False,-2.0,-0.23257575757575774,-0.2609970674486805,-0.25230802650157497,-0.33919843597263
505,DELTA_15000_GAMMA_050,15000,-151491.78225807007,-7.794743247807632,141735.299784552,57.44876986996035,-148082.76303873362,-77.49026442269233,283470.599569104,0.0,False,-1.0,-0.2958292603453894,-0.30371456500488764,-0.25448028673835127,-0.714565004887586
606,DELTA_00500_GAMMA_050,00500,467778.30620877026,20.547189129818516,-193557.9914993909,-91.12140846502194,-72012.777608153,-33.092924859646494,-387115.982998783,0.0,False,0.0,0.39765395894428146,0.39765395894428146,0.549643904482614,0.019550342130987053
606,DELTA_01000_GAMMA_050,01000,322097.96996627003,14.148171942530906,-181652.4142381418,-85.51661291909599,45232.714731213986,20.786350416074196,-363304.828476285,0.0,False,0.0,0.29501466275659805,0.29501466275659805,0.46027091188381514,0.021505376344086002
606,DELTA_02000_GAMMA_050,02000,110141.05954758031,4.83795240489993,-97430.723324828,-45.86751840288718,84829.54207870102,38.98277160150599,-194861.4466496578,0.0,False,0.0,0.13607038123167137,0.13607038123167137,0.19368803239770965,-0.049853372434017995
606,DELTA_05000_GAMMA_050,05000,-94958.8262871597,-4.171071931662126,79387.22192723298,37.373168734071655,-63923.40200084899,-29.37551375531963,158774.443854466,0.0,False,0.0,-0.06764418377321613,-0.06764418377321613,-0.11925708699902265,-0.15542521994134895
606,DELTA_10000_GAMMA_050,10000,-167382.4925910998,-7.352285658913896,146250.76947802998,68.85055998306983,-125345.30398330379,-57.60148218139826,292501.53895605996,0.0,False,-1.0,-0.3016400564787662,-0.31202346041055723,-0.2429828236279849,-0.70869990224829
606,DELTA_15000_GAMMA_050,15000,-183754.06551615987,-8.071407945644511,184062.23254466202,86.65108448771427,-176233.1542341619,-80.98660716274506,368124.465089323,0.0,False,0.0,-0.25004887585532765,-0.25004887585532765,-0.26770004189359037,-0.461388074291301
707,DELTA_00500_GAMMA_050,00500,492201.2711033202,19.20460359338509,-223842.32152955528,-95.20570070258866,-34246.61562429898,-15.928304854766655,-447684.64305911004,0.0,True,0.0,0.4679374389051807,0.4679374389051807,0.5852883675464318,0.18279569892473202
707,DELTA_01000_GAMMA_050,01000,318262.64862598013,12.417903740357742,-217681.9109947311,-92.58552504690458,114301.243496857,53.16218897861153,-435363.82198946096,-1.0,True,0.0,0.3937438905180838,0.3937438905180838,0.5481078061723219,0.17399804496578708
707,DELTA_02000_GAMMA_050,02000,87017.11681855004,3.395215194372674,-69723.010802315,-29.65492876043147,36677.449728354,17.058900271420892,-139446.021604629,0.0,True,0.0,0.050635386119257,0.050635386119257,0.09420821114369488,0.043988269794722035
707,DELTA_05000_GAMMA_050,05000,-53328.66377864964,-2.0807663615701943,97723.98958757002,41.56444072131656,-112090.75984422599,-52.13407986903275,195447.97917514003,2.0,True,0.0,-0.21564027370479003,-0.21564027370479003,-0.1652003910068429,-0.5405669599217979
707,DELTA_10000_GAMMA_050,10000,-109024.4285841398,-4.25389176314056,160835.711290917,68.40742397066857,-182811.066471737,-85.02651559883715,321671.422581835,2.0,True,-3.0,-0.36450216450216466,-0.3837732160312807,-0.3333333333333336,-0.62952101661779
707,DELTA_15000_GAMMA_050,15000,-114178.81556333974,-4.455004528413491,161806.78023489402,68.8204437187221,-179597.3165524827,-83.53178137451445,323613.560469789,2.0,True,0.0,-0.38211143695014677,-0.38211143695014677,-0.33167155425219963,-0.688172043010752
808,DELTA_00500_GAMMA_050,00500,373338.25548155,13.665073043871068,-169840.7783373267,-96.63191263040878,-29241.123905321,-16.976215864348763,-339681.55667465297,0.0,False,0.0,0.32414467253176915,0.32414467253176915,0.6119257086999024,0.042033235581621975
808,DELTA_01000_GAMMA_050,01000,249379.19208566006,9.127874857283432,-145595.412488134,-82.8373687207111,41984.85759048999,24.374713085511804,-291190.824976268,0.0,False,0.0,0.11837732160312808,0.11837732160312808,0.3775171065493648,0.048875855327467965
808,DELTA_02000_GAMMA_050,02000,71045.72084337007,2.6004432991386905,-57320.22639487201,-32.612680907192946,39404.919240691,22.87690505033811,-114640.4527897439,0.0,False,0.0,0.04946236559139788,0.04946236559139788,0.10576735092864159,0.00782013685239491
808,DELTA_05000_GAMMA_050,05000,-69258.30000133999,-2.5350194214410413,61279.29159821698,34.86521440693871,-57657.92782465099,-33.473864828574584,122558.58319643498,0.0,False,0.0,-0.11749755620723362,-0.11749755620723362,-0.11671554252199404,-0.00293255131964798
808,DELTA_10000_GAMMA_050,10000,-105078.7740364899,-3.8461344410498493,119364.88765179898,67.91335689594057,-133880.98290138418,-77.72589293161553,238729.775303599,0.0,False,0.0,-0.18660801564027363,-0.18660801564027363,-0.28758553274682286,-0.16911045943304004
808,DELTA_15000_GAMMA_050,15000,-119579.01071609976,-4.376877782968314,126185.73715062797,71.79411945066065,-144371.6595085176,-83.81635618543606,252371.47430125598,0.0,False,-2.0,-0.23528836754643206,-0.27380254154447703,-0.3034213098729226,0.042033235581621975
909,DELTA_00500_GAMMA_050,00500,569778.4159965799,24.324356107151075,-260276.77331035753,-92.95251581737215,-44372.89446213801,-18.526720186926777,-520553.546620716,0.0,False,0.0,0.6224828934506353,0.6224828934506353,0.585206907787553,0.25806451612903203
909,DELTA_01000_GAMMA_050,01000,379891.84909494966,16.21792675917215,-229472.6700580294,-81.95146159964625,70815.97099027899,29.567322465788223,-458945.34011605976,0.0,False,0.0,0.4321603128054742,0.4321603128054742,0.4004561746497231,0.26099706744868
909,DELTA_02000_GAMMA_050,02000,114301.90752323996,4.879651851077891,-109085.23204602001,-38.957555175730626,87043.80745839397,36.342823345959715,-218170.464092041,0.0,False,0.0,0.2167155425219942,0.2167155425219942,0.15042902139676345,0.24340175953079202
909,DELTA_05000_GAMMA_050,05000,-91522.00478969002,-3.907157192416656,106320.20034798596,37.97008076770661,-121288.101673341,-50.64061628034811,212640.40069597005,0.0,False,0.0,-0.12883675464320615,-0.12883675464320615,-0.16248506571087204,-0.406647116324536
909,DELTA_10000_GAMMA_050,10000,-159757.00456490042,-6.820171070979501,174399.63178513298,62.2832545750111,-189358.57941993861,-79.06163116991581,348799.26357026503,0.0,False,0.0,-0.1957966764418377,-0.1957966764418377,-0.28185076572173345,-0.14565004887585498
909,DELTA_15000_GAMMA_050,15000,-183842.25596437044,-7.848392245251719,193217.03444232396,69.00350431488599,-202951.1571625501,-84.73684996077667,386434.06888464605,0.0,False,-1.0,-0.2809601390246551,-0.2864125122189638,-0.31736722059302697,-0.587487781036168
1010,DELTA_00500_GAMMA_050,00500,463405.80169883976,18.51371558728555,-268805.2591336603,-95.83848046615273,73454.55600909599,65.77946248559935,-537610.51826732,0.0,True,0.0,0.5113391984359725,0.5113391984359725,0.6750977517106548,0.24828934506353895
1010,DELTA_01000_GAMMA_050,01000,277857.2055574497,11.100787384858158,-241502.0915567551,-86.10394587811402,177641.372430939,159.08004388814692,-483004.183113509,-1.0,True,0.0,0.36520039100684254,0.36520039100684254,0.5729995810640971,0.24046920821114393
1010,DELTA_02000_GAMMA_050,02000,68436.72321143001,2.734143648217883,-125006.324699535,-44.56912876806776,153931.83215119498,137.84785762063885,-250012.649399068,-1.0,True,0.0,0.16637341153470198,0.16637341153470198,0.2451124144672533,0.07917888563049891
1010,DELTA_05000_GAMMA_050,05000,-58482.2944138702,-2.336450173262909,35512.014227101,12.661275649095268,-12623.620791381909,-11.304608391837693,71024.02845420397,0.0,False,0.0,-0.15591397849462352,-0.15591397849462352,-0.07600195503421298,-0.48191593352883605
1010,DELTA_10000_GAMMA_050,10000,-97997.48209802015,-3.915137672384896,82333.29206632299,29.354699490789297,-66879.5022319481,-59.891420589040344,164666.58413264604,0.0,False,0.0,-0.24418377321603119,-0.24418377321603119,-0.1961143695014662,-0.49755620723362604
1010,DELTA_15000_GAMMA_050,15000,-115730.07968640001,-4.623579964586505,106586.608541355,38.001855445710525,-97719.7856074122,-87.50927540379658,213173.21708270995,0.0,False,0.0,-0.2594330400782012,-0.2594330400782012,-0.2489002932551319,-0.24340175953079102
