arc_type,origin_id,destination_id,is_intracity,physical_distance_km,transport_rate_cny_per_tonne_km,transport_cost_coefficient_cny_per_tonne,transport_emission_factor_tco2e_per_tonne_km,transport_emission_coefficient_tco2e_per_tonne,solver_cost_field,solver_emission_field,mapping_status
dc_market,C05,C06,False,149.464,0.39,58.29096,6.996e-05,0.01045650144,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C05,C07,False,404.946,0.39,157.92894,6.996e-05,0.028330022160000003,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C05,C08,False,85.317,0.39,33.27363,6.996e-05,0.005968777319999999,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C05,M09,False,198.64,0.39,77.4696,6.996e-05,0.013896854399999999,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C05,M10,False,246.416,0.39,96.10224000000001,6.996e-05,0.01723926336,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C05,M11,False,289.205,0.39,112.78995,6.996e-05,0.0202327818,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C05,M12,False,57.665,0.39,22.48935,6.996e-05,0.0040342434,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C05,M13,False,80.526,0.39,31.40514,6.996e-05,0.00563359896,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C05,M14,False,265.505,0.39,103.54695,6.996e-05,0.0185747298,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C05,M15,False,170.665,0.39,66.55935,6.996e-05,0.0119397234,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C06,C01,False,213.613,0.39,83.30907,6.996e-05,0.014944365480000001,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C06,C02,False,415.566,0.39,162.07074,6.996e-05,0.02907299736,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C06,C03,False,216.801,0.39,84.55239,6.996e-05,0.015167397959999999,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C06,C04,False,263.046,0.39,102.58794,6.996e-05,0.01840269816,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C06,C05,False,150.3,0.39,58.617000000000004,6.996e-05,0.010514988000000001,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C06,C06,True,10.0,0.39,3.9000000000000004,6.996e-05,0.0006996,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C06,C07,False,554.761,0.39,216.35679,6.996e-05,0.038811079559999996,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C06,C08,False,148.427,0.39,57.88653,6.996e-05,0.01038395292,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C06,M09,False,303.842,0.39,118.49838,6.996e-05,0.02125678632,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C06,M10,False,288.388,0.39,112.47131999999999,6.996e-05,0.020175624479999998,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C06,M11,False,370.144,0.39,144.35616000000002,6.996e-05,0.025895274240000002,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C06,M12,False,107.025,0.39,41.73975,6.996e-05,0.007487469000000001,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C06,M13,False,220.242,0.39,85.89438,6.996e-05,0.01540813032,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C06,M14,False,415.32,0.39,161.97480000000002,6.996e-05,0.0290557872,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C06,M15,False,235.049,0.39,91.66911,6.996e-05,0.01644402804,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C07,C01,False,463.365,0.39,180.71235000000001,6.996e-05,0.0324170154,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C07,C02,False,171.093,0.39,66.72627,6.996e-05,0.01196966628,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C07,C03,False,374.416,0.39,146.02224,6.996e-05,0.02619414336,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C07,C04,False,345.917,0.39,134.90762999999998,6.996e-05,0.02420035332,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C07,C05,False,409.138,0.39,159.56382,6.996e-05,0.02862329448,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C07,C06,False,554.816,0.39,216.37824000000003,6.996e-05,0.03881492736,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C07,C07,True,10.0,0.39,3.9000000000000004,6.996e-05,0.0006996,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C07,C08,False,426.072,0.39,166.16808,6.996e-05,0.029807997120000002,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C07,M09,False,298.235,0.39,116.31165000000001,6.996e-05,0.020864520600000002,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C07,M10,False,403.733,0.39,157.45587,6.996e-05,0.02824516068,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C07,M11,False,301.243,0.39,117.48477,6.996e-05,0.02107496028,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C07,M12,False,468.512,0.39,182.71968,6.996e-05,0.03277709952,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C07,M13,False,349.161,0.39,136.17279,6.996e-05,0.024427303560000002,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C07,M14,False,149.56,0.39,58.3284,6.996e-05,0.0104632176,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
