distance_km,seed,v1_output_dir,v2_output_dir,network_match,assignment_match,best_w_match,status_match,v2_profit,v1_rounded_profit,v2_profit_rounded_to_v1,profit_rounding_consistency,v2_emission,v1_rounded_emission,emission_rounding_consistency,validation_status
5,505,D05/seed_505,D05/seed_505,True,True,True,True,175219906.4184668,175220000.0,175220000.0,True,15249.409608350188,15249.4,True,PASS
5,606,D05/seed_606,D05/seed_606,True,True,True,True,175219912.70576176,175220000.0,175220000.0,True,15287.922555549056,15287.9,True,PASS
5,707,D05/seed_707,D05/seed_707,True,True,True,True,175219906.53372303,175220000.0,175220000.0,True,15266.581319231993,15266.6,True,PASS
5,808,D05/seed_808,D05/seed_808,True,True,True,True,175219914.8669313,175220000.0,175220000.0,True,15275.429684800634,15275.4,True,PASS
5,909,D05/seed_909,D05/seed_909,True,True,True,True,175219931.10295746,175220000.0,175220000.0,True,15244.768077504626,15244.8,True,PASS
5,1010,D05/seed_1010,D05/seed_1010,True,True,True,True,175219899.14130226,175220000.0,175220000.0,True,15294.358224286567,15294.4,True,PASS
10,101,D10/seed_101_attempt_03,D10/seed_101,True,True,True,True,174587361.6012794,174587000.0,174587000.0,True,14370.084087276811,14370.1,True,PASS
10,202,D10/seed_202,D10/seed_202,True,True,True,True,174587351.75545973,174587000.0,174587000.0,True,14420.169078986926,14420.2,True,PASS
10,303,D10/seed_303,D10/seed_303,True,True,True,True,174587347.11026418,174587000.0,174587000.0,True,14404.271770744619,14404.3,True,PASS
10,404,D10/seed_404,D10/seed_404,True,True,True,True,174587329.72248253,174587000.0,174587000.0,True,14437.26292283013,14437.3,True,PASS
10,505,D10/seed_505,D10/seed_505,True,True,True,True,174587336.27306494,174587000.0,174587000.0,True,14427.665706093016,14427.7,True,PASS
10,606,D10/seed_606,D10/seed_606,True,True,True,True,174587336.9796964,174587000.0,174587000.0,True,14420.669941483966,14420.7,True,PASS
10,707,D10/seed_707,D10/seed_707,True,True,True,True,174587365.97105414,174587000.0,174587000.0,True,14386.626808097353,14386.6,True,PASS
10,808,D10/seed_808,D10/seed_808,True,True,True,True,174587367.49738404,174587000.0,174587000.0,True,14388.67500258019,14388.7,True,PASS
10,909,D10/seed_909,D10/seed_909,True,True,True,True,174587319.68558756,174587000.0,174587000.0,True,14442.842879643757,14442.8,True,PASS
10,1010,D10/seed_1010,D10/seed_1010,True,True,True,True,174587348.71458626,174587000.0,174587000.0,True,14375.793251499765,14375.8,True,PASS
15,101,D15/seed_101,D15/seed_101,True,True,True,True,173966671.29659835,173967000.0,173967000.0,True,14515.92932299217,14515.9,True,PASS
15,202,D15/seed_202,D15/seed_202,True,True,True,True,173966659.72136524,173967000.0,173967000.0,True,14527.058001253416,14527.1,True,PASS
15,303,D15/seed_303,D15/seed_303,True,True,True,True,173966670.974816,173967000.0,173967000.0,True,14514.030042441014,14514.0,True,PASS
15,404,D15/seed_404,D15/seed_404,True,True,True,True,173966658.84557673,173967000.0,173967000.0,True,14481.864173240741,14481.9,True,PASS
15,505,D15/seed_505,D15/seed_505,True,True,True,True,173966657.2248248,173967000.0,173967000.0,True,14538.764826176888,14538.8,True,PASS
15,606,D15/seed_606,D15/seed_606,True,True,True,True,173966657.7702159,173967000.0,173967000.0,True,14531.849681748481,14531.8,True,PASS
15,707,D15/seed_707,D15/seed_707,True,True,True,True,173966687.3517105,173967000.0,173967000.0,True,14497.51147992316,14497.5,True,PASS
15,808,D15/seed_808,D15/seed_808,True,True,True,True,173966685.38011447,173967000.0,173967000.0,True,14497.47728395277,14497.5,True,PASS
15,909,D15/seed_909,D15/seed_909,True,True,True,True,173966642.3440727,173967000.0,173967000.0,True,14552.93335269416,14552.9,True,PASS
15,1010,D15/seed_1010,D15/seed_1010,True,True,True,True,173966650.7841797,173967000.0,173967000.0,True,14547.464848523774,14547.5,True,PASS
20,101,D20/seed_101,D20/seed_101,True,True,True,True,173345993.77895036,173346000.0,173346000.0,True,14623.812497358153,14623.8,True,PASS
20,202,D20/seed_202,D20/seed_202,True,True,True,True,173345980.51172537,173346000.0,173346000.0,True,14638.237821188903,14638.2,True,PASS
20,303,D20/seed_303,D20/seed_303,True,True,True,True,173345981.906777,173346000.0,173346000.0,True,14638.299024340373,14638.3,True,PASS
20,404,D20/seed_404,D20/seed_404,True,True,True,True,173345969.74364972,173346000.0,173346000.0,True,14660.575430270086,14660.6,True,PASS
20,505,D20/seed_505,D20/seed_505,True,True,True,True,173345978.17658463,173346000.0,173346000.0,True,14649.86394626076,14649.9,True,PASS
20,606,D20/seed_606,D20/seed_606,True,True,True,True,173345972.89148512,173346000.0,173346000.0,True,14657.76446973247,14657.8,True,PASS
20,707,D20/seed_707,D20/seed_707,True,True,True,True,173346008.73236683,173346000.0,173346000.0,True,14608.39615174897,14608.4,True,PASS
20,808,D20/seed_808,D20/seed_808,True,True,True,True,173346010.15110466,173346000.0,173346000.0,True,14610.498142257611,14610.5,True,PASS
20,909,D20/seed_909,D20/seed_909,True,True,True,True,173345967.30347526,173346000.0,173346000.0,True,14659.007021417057,14659.0,True,PASS
20,1010,D20/seed_1010,D20/seed_1010,True,True,True,True,173345979.08815727,173346000.0,173346000.0,True,14654.142332113097,14654.1,True,PASS
