distance_km,seed,reported_total_profit,recomputed_total_profit,total_emission,investment_cost,carbon_trading_cost,wall_time_sec,best_w
15,707,1.73967e+08,1.73967e+08,14497.5,66.1467,109.337,0.665789,0;0.0039100684261974585;0.0039100684261974585;0;0.0078201368523949169;0.85239491691104596;0;0.0078201368523949169
15,808,1.73967e+08,1.73967e+08,14497.5,68.1867,109.269,0.638074,0.21896383186705767;0.0078201368523949169;0;0.0058651026392961877;0;0.070381231671554259;0;0.00097751710654936461
15,909,1.73967e+08,1.73967e+08,14552.9,0.310569,220.181,0.64868,0;0;0;0;0.00097751710654936461;0.14467253176930597;0;0
15,1010,1.73967e+08,1.73967e+08,14547.5,2.80747,209.244,0.533699,0;0;0;0;0.0019550342130987292;0;0;0.0019550342130987292
20,101,1.73346e+08,1.73346e+08,14623.8,50.2674,361.939,0.630878,0.0078201368523949169;0.0078201368523949169;0.00097751710654936461;0;0;0.062561094819159335;0;0
20,202,1.73346e+08,1.73346e+08,14638.2,34.684,390.79,0.637745,0;0;0.0019550342130987292;0.0078201368523949169;0;0.052785923753665691;0.00097751710654936461;0
20,303,1.73346e+08,1.73346e+08,14638.3,33.1665,390.912,0.621207,0.062561094819159335;0.00097751710654936461;0.0019550342130987292;0.0039100684261974585;0;0.18768328445747801;0.0078201368523949169;0
20,404,1.73346e+08,1.73346e+08,14660.6,0.776837,435.465,0.640418,0.25024437927663734;0.00097751710654936461;0;0;0;0;0;0
20,505,1.73346e+08,1.73346e+08,14649.9,13.7669,414.042,0.658736,0;0;0.0039100684261974585;0;0.0039100684261974585;0;0;0
20,606,1.73346e+08,1.73346e+08,14657.8,3.25092,429.843,0.674201,0;0;0;0.0019550342130987292;0.0019550342130987292;0;0;0
20,707,1.73346e+08,1.73346e+08,14608.4,66.1467,331.107,0.662872,0;0.0039100684261974585;0.0039100684261974585;0;0.0078201368523949169;0.85239491691104596;0;0.0078201368523949169
20,808,1.73346e+08,1.73346e+08,14610.5,60.524,335.311,0.630192,0.032258064516129031;0.0078201368523949169;0.0039100684261974585;0.0019550342130987292;0;0.070381231671554259;0;0
20,909,1.73346e+08,1.73346e+08,14659,6.35383,432.328,0.656228,0;0;0;0;0.0039100684261974585;0;0.0019550342130987292;0
20,1010,1.73346e+08,1.73346e+08,14654.1,4.29853,422.599,0.606922,0.0039100684261974585;0.00097751710654936461;0;0;0;0;0;0.0029325513196480938
